,Death on the Stairs_The Libertines
0,way
1,far
2,across
3,sea
4,came
5,eritrean
6,maiden
7,she
8,onetrack
9,mind
10,eyes
11,me
12,half
13,blinded
14,war
15,pale
16,young
17,anglican
18,said
19,he'd
20,help
21,her
22,he
23,showed
24,her
25,jesus
26,his
27,little
28,unholy
29,friend
30,she
31,mind
32,please
33,him
34,say
35,'tara'
36,leave
37,him
38,behind
39,little
40,boy
41,stairwell
42,says
43,'i
44,hate
45,people
46,like
47,you'
48,i
49,got
50,matchsticks
51,cable
52,tv
53,half
54,less
55,50p
56,clambered
57,balcony
58,banging
59,window
60,waking
61,steve
62,bringing
63,true
64,love
65,his
66,unholy
67,friend
68,singing
69,'if
70,you
71,really
72,need
73,you
74,leave
75,behind'
76,baby
77,please
78,kill
79,me
80,oh
81,baby
82,kill
83,me
84,bring
85,ghost
86,'round
87,my
88,door
89,i
90,want
91,see
92,him
93,anymore
94,please
95,kill
96,me
97,oh
98,baby
99,kill
100,me
101,bang
102,yesterday
103,you
104,know
105,i
106,know
107,anyway
108,monkey
109,asked
110,mouse
111,she
112,loved
113,anybody
114,he
115,turns
116,you
117,stone
118,i'm
119,reversing
120,lonely
121,street
122,cheap
123,hotel
124,i
125,meet
126,past
127,pay
128,keep
129,sweet
130,aw
131,sweet
132,nothing
133,like
134,nothing
135,you
136,know
137,i've
138,seen
139,you
140,could
141,i
142,help
143,stare
144,rips
145,heart
146,your
147,baby
148,i've
149,taken
150,far
151,much
152,see
153,think
154,touch
155,what's
156,real
157,stranded
158,street
159,paved
160,my
161,way
162,home
163,you
164,really
165,need
166,you
167,leave
168,him
169,behind
170,oh
171,please
172,kill
173,me
174,oh
175,kill
176,me
177,bring
178,ghost
179,'round
180,my
181,door
182,i
183,want
184,see
185,him
186,anymore
187,please
188,kill
189,me
190,oh
191,kill
192,me
193,try
194,joke
195,yesterday
196,you
197,know
198,i
199,know
200,anyway
201,instrumental
202,break
203,sweet
204,like
205,nothing
206,sweet
207,like
208,nothing
209,sweet
210,like
211,nothing
212,sweet
213,like
214,nothing
215,sweet
216,like
217,nothing
218,sweet
219,like
220,nothing
