,(Another Song) All Over Again_Justin Timberlake
0,one
1,two
2,three
3,alone
4,afraid
5,i've
6,fool
7,many
8,ways
9,would
10,change
11,life
12,thought
13,might
14,try
15,love
16,please
17,give
18,another
19,chance
20,write
21,another
22,song
23,take
24,back
25,things
26,i've
27,done
28,'cause
29,i'll
30,give
31,heart
32,would
33,let
34,start
35,i'm
36,saint
37,i'm
38,man
39,heaven
40,earth
41,palm
42,hand
43,threw
44,away
45,stand
46,today
47,asking
48,forgiveness
49,could
50,please
51,give
52,another
53,chance
54,write
55,another
56,song
57,take
58,back
59,things
60,i've
61,done
62,'cause
63,i'll
64,give
65,heart
66,would
67,let
68,start
69,little
70,girl
71,i've
72,got
73,leave
74,standing
75,'cause
76,i'll
77,give
78,life
79,yes
80,would
81,would
82,let
83,try
84,love
85,please
86,give
87,another
88,chance
89,write
90,another
91,song
92,take
93,back
94,things
95,i've
96,done
97,'cause
98,i'll
99,give
100,heart
101,would
102,let
103,start
104,outro
105,know
106,love
107,give
108,one
109,chance
