,The Way I Loved You_Taylor Swift
0,he
1,sensible
2,incredible
3,my
4,single
5,friends
6,jealous
7,he
8,says
9,everything
10,i
11,need
12,hear
13,like
14,i
15,ask
16,anything
17,better
18,he
19,opens
20,my
21,door
22,i
23,get
24,his
25,car
26,he
27,says
28,you
29,look
30,beautiful
31,tonight
32,i
33,feel
34,perfectly
35,fine
36,i
37,miss
38,screaming
39,fighting
40,kissing
41,rain
42,2am
43,i'm
44,cursing
45,your
46,name
47,you're
48,love
49,you
50,act
51,insane
52,that's
53,way
54,i
55,loved
56,you
57,breaking
58,coming
59,undone
60,roller
61,coaster
62,kind
63,rush
64,i
65,never
66,knew
67,i
68,could
69,feel
70,much
71,that's
72,way
73,i
74,loved
75,you
76,he
77,respects
78,my
79,space
80,never
81,makes
82,me
83,wait
84,he
85,calls
86,exactly
87,he
88,says
89,he
90,he's
91,close
92,my
93,mother
94,talks
95,business
96,my
97,father
98,he's
99,charming
100,endearing
101,i'm
102,comfortable
103,i
104,miss
105,screaming
106,fighting
107,kissing
108,rain
109,2am
110,i'm
111,cursing
112,your
113,name
114,you're
115,love
116,you
117,acted
118,insane
119,that's
120,way
121,i
122,loved
123,you
124,breaking
125,coming
126,undone
127,roller
128,coaster
129,kind
130,rush
131,i
132,never
133,knew
134,i
135,could
136,feel
137,much
138,that's
139,way
140,i
141,loved
142,you
143,he
144,can't
145,see
146,smile
147,i'm
148,faking
149,my
150,heart's
151,breaking
152,'cause
153,i'm
154,feeling
155,anything
156,you
157,wild
158,crazy
159,frustrating
160,intoxicating
161,complicated
162,got
163,away
164,mistake
165,i
166,miss
167,screaming
168,fighting
169,kissing
170,rain
171,2am
172,i'm
173,cursing
174,your
175,name
176,i'm
177,love
178,i
179,acted
180,insane
181,that's
182,way
183,i
184,loved
185,you
186,breaking
187,coming
188,undone
189,roller
190,coaster
191,kind
192,rush
193,i
194,never
195,knew
196,i
197,could
198,feel
199,much
200,that's
201,way
202,i
203,loved
204,you
205,oh
206,oh
207,that's
208,way
209,i
210,loved
211,you
212,oh
213,oh
214,never
215,knew
216,i
217,could
218,feel
219,much
220,that's
221,way
222,i
223,loved
224,you
