,Last Night on Earth_Green Day
0,i
1,text
2,postcard
3,sent
4,you
5,go
6,sending
7,my
8,love
9,you
10,you
11,moonlight
12,my
13,life
14,every
15,night
16,giving
17,my
18,love
19,you
20,my
21,beating
22,heart
23,belongs
24,you
25,i
26,walked
27,miles
28,'til
29,i
30,found
31,you
32,i'm
33,honor
34,you
35,i
36,lose
37,everything
38,fire
39,i'm
40,sending
41,my
42,love
43,you
44,every
45,breath
46,i
47,worth
48,earth
49,i'm
50,sending
51,my
52,love
53,you
54,you
55,dare
56,secondguess
57,you
58,rest
59,assured
60,my
61,love's
62,you
63,my
64,beating
65,heart
66,belongs
67,you
68,i
69,walked
70,miles
71,'til
72,i
73,found
74,you
75,i'm
76,honor
77,you
78,i
79,lose
80,everything
81,fire
82,i'm
83,sending
84,my
85,love
86,you
87,my
88,beating
89,heart
90,belongs
91,you
92,i
93,walked
94,miles
95,'til
96,i
97,found
98,you
99,i'm
100,honor
101,you
102,i
103,lose
104,everything
105,fire
106,i
107,ever
108,make
