,Ode to Divorce_Regina Spektor
0,food
1,i'm
2,eating
3,suddenly
4,tasteless
5,i
6,know
7,i'm
8,alone
9,i
10,know
11,tastes
12,like
13,break
14,me
15,small
16,parts
17,let
18,go
19,small
20,doses
21,spare
22,spare
23,parts
24,might
25,good
26,ones
27,like
28,you
29,might
30,make
31,dollar
32,i'm
33,inside
34,your
35,mouth
36,behind
37,your
38,tonsils
39,peeking
40,your
41,molars
42,you're
43,talking
44,her
45,you've
46,eaten
47,something
48,minty
49,you're
50,making
51,face
52,i
53,like
54,you're
55,going
56,kill
57,kill
58,killer
59,kiss
60,kiss
61,kiss
62,kiss
63,i
64,need
65,your
66,money
67,it'll
68,help
69,me
70,i
71,need
72,your
73,car
74,i
75,need
76,your
77,love
78,i
79,need
80,your
81,money
82,it'll
83,help
84,me
85,i
86,need
87,your
88,car
89,i
90,need
91,your
92,love
93,you
94,help
95,brother
96,you
97,help
98,brother
99,you
100,help
101,brother
102,break
103,me
104,small
105,parts
106,let
107,go
108,small
109,doses
110,spare
111,spare
112,parts
113,you
114,might
115,make
116,dollar
117,dollar
118,might
119,make
120,dollar
121,you
122,help
123,brother
124,you
125,help
126,brother
127,you
128,help
129,brother
130,break
131,me
132,small
133,parts
134,let
135,go
136,small
137,doses
138,spare
139,spare
140,parts
141,might
142,good
143,ones
144,you
145,might
146,make
147,dollar
148,might
149,good
150,ones
151,might
152,good
153,ones
154,you
155,might
156,make
157,dollar
158,you
159,might
160,make
161,dollar
162,might
163,good
164,ones
165,might
166,good
167,ones
