,Provider_N*E*R*D
0,little
1,red
2,riding
3,hood
4,went
5,riding
6,bike
7,got
8,little
9,distracted
10,cause
11,seen
12,something
13,liked
14,ain't
15,grandma's
16,house
17,mean
18,good
19,cause
20,one
21,cares
22,wolf's
23,still
24,woods
25,beautiful
26,losers
27,might
28,look
29,beautiful
30,they're
31,rotten
32,inside
33,beautiful
34,losers
35,there's
36,much
37,dirt
38,cupboard
39,there's
40,big
41,ol'
42,lump
43,can't
44,hide
45,c'mon
46,go
47,wearing
48,disguises
49,best
50,friend
51,watch
52,bullets
53,ricochet
54,armor
55,like
56,blam-ba-blam
57,blam-ba-blam
58,hey
59,hey
60,know
61,secede
62,know
63,relentless
64,tell
65,'em
66,clear
67,way
68,tell
69,'em
70,step
71,back
72,back-ba-back
73,hey
74,hey
75,kill
76,joy
77,kill
78,joy
79,kill
80,joy
81,kill
82,joy
83,watch
84,bullets
85,ricochet
86,like
87,blam-ba-blam
88,blam
89,blam
90,ba-blam-blam
91,kill
92,joy
93,everybody
94,let's
95,go
96,think
97,back
98,met
99,see
100,glances
101,that's
102,seed
103,led
104,trees
105,eventually
106,led
107,branches
108,cold
109,snowball
110,downhill
111,avalanches
112,believe
113,world
114,coldest
115,devil
116,dances
117,beautiful
118,losers
119,wonder
120,always
121,end
122,last
123,uh
124,beautiful
125,losers
126,well
127,would
128,bet
129,anything
130,karma
131,past
132,c'mon
133,wake
134,little
135,boy
136,there's
137,spaceship
138,employed
139,zapped
140,shit
141,away
142,like
143,damn-da-damn
144,damn-da-damn
145,hey
146,hey
147,impoverished
148,knees
149,gotta
150,stand
151,face
152,fees
153,that's
154,say
155,give
156,shoulder
157,dap-ta-dap
158,dap-ta-dap
159,hey
160,hey
161,kill
162,joy
163,kill
164,joy
165,kill
166,joy
167,kill
168,joy
169,watch
170,bullets
171,ricochet
172,like
173,blam-ba-blam
174,blam
175,blam
176,ba-blam-blam
177,kill
178,joy
179,everybody
180,let's
181,go
182,outro
183,everybody
184,let's
185,go
186,"""kill"
187,joy
188,n-e-r-d
189,film
190,starring
191,also
192,starring
193,color
194,provided
195,"""seeing"
196,"sounds"""
197,goodnight
198,"aw"""
