,Honestly_Cartel
0,please
1,mind
2,i'm
3,trying
4,say
5,'cause
6,i'm
7,i'm
8,honest
9,i
10,tell
11,you
12,you
13,you're
14,part
15,reason
16,i'm
17,set
18,rest
19,my
20,life
21,part
22,you
23,you
24,tell
25,me
26,you
27,think
28,open
29,honest
30,yourself
31,'cause
32,things
33,never
34,i
35,guess
36,i'll
37,see
38,you
39,i'll
40,see
41,you
42,around
43,i'm
44,spinning
45,i'm
46,falling
47,you
48,know
49,i'm
50,begging
51,you
52,stay
53,waste
54,time
55,getting
56,point
57,'cause
58,i'm
59,i'm
60,patiently
61,waiting
62,your
63,next
64,phone
65,call
66,your
67,next
68,excuse
69,losing
70,sleep
71,tell
72,me
73,you
74,think
75,open
76,honest
77,yourself
78,'cause
79,things
80,never
81,i
82,guess
83,i'll
84,see
85,you
86,i'll
87,see
88,you
89,around
90,i'm
91,spinning
92,i'm
93,falling
94,you
95,know
96,i'm
97,begging
98,you
99,stay
100,'cause
101,i
102,can't
103,stop
104,amazing
105,you
106,know
107,i
108,can't
109,i
110,could
111,never
112,walk
113,away
114,resolve
115,let
116,go
117,wonder
118,ever
119,never
120,never
121,i
122,guess
123,i'll
124,see
125,you
126,i'll
127,see
128,you
129,around
130,i'm
131,spinning
132,i'm
133,falling
134,you
135,know
136,i'm
137,begging
138,i'm
139,begging
140,'cause
141,i
142,can't
143,stop
144,amazing
145,you
146,know
147,i
148,can't
149,i
150,could
151,never
152,walk
153,away
154,please
155,mind
156,i'm
157,trying
158,say
159,'cause
160,i'm
161,i'm
162,honest
