,Broken_Seether (feat. Amy Lee)
0,shaun
1,morgan
2,wanted
3,know
4,love
5,way
6,laugh
7,wanna
8,hold
9,high
10,steal
11,pain
12,away
13,keep
14,photograph
15,know
16,serves
17,well
18,wanna
19,hold
20,high
21,steal
22,pain
23,shaun
24,morgan
25,&
26,amy
27,lee
28,i'm
29,broken
30,i'm
31,lonesome
32,feel
33,right
34,gone
35,away
36,post-chorus
37,shaun
38,morgan
39,gone
40,away
41,feel
42,anymore
43,amy
44,lee
45,worst
46,breathe
47,wanna
48,hold
49,high
50,steal
51,pain
52,away
53,there's
54,much
55,left
56,learn
57,one
58,left
59,fight
60,wanna
61,hold
62,high
63,steal
64,pain
65,shaun
66,morgan
67,&
68,amy
69,lee
70,'cause
71,i’m
72,broken
73,i’m
74,open
75,don’t
76,feel
77,like
78,strong
79,enough
80,'cause
81,i'm
82,broken
83,i'm
84,lonesome
85,feel
86,right
87,gone
88,away
89,'cause
90,i’m
91,broken
92,i’m
93,open
94,don’t
95,feel
96,like
97,strong
98,enough
99,'cause
100,i'm
101,broken
102,i'm
103,lonesome
104,feel
105,right
106,gone
107,away
108,'cause
109,i'm
110,broken
111,i'm
112,lonesome
113,feel
114,right
115,gone
116,post-chorus
117,shaun
118,morgan
119,gone
120,away
121,feel
122,anymore
