,Soco Amaretto Lime_Brand New
0,passed
1,overpass
2,sunday
3,best
4,broken
5,glass
6,broken
7,bikes
8,bars
9,suspended
10,like
11,spirits
12,speeding
13,cars
14,kings
15,parkway
16,tonight
17,tonight
18,go
19,forever
20,walk
21,around
22,town
23,like
24,streets
25,stay
26,awake
27,summer
28,like
29,heat
30,singing—
31,"""everybody"
32,wake
33,time
34,get
35,"down"""
36,wake
37,everybody
38,everybody
39,wake
40,time
41,get
42,pass
43,bottle
44,back
45,pete
46,overpass
47,tonight
48,bet
49,laugh
50,i'm
51,gonna
52,stay
53,eighteen
54,forever
55,stay
56,like
57,forever
58,we'll
59,never
60,miss
61,party
62,'cause
63,keep
64,goin'
65,constantly
66,we'll
67,never
68,listen
69,anyone
70,anything
71,'cause
72,done
73,said
74,we're
75,coolest
76,kids
77,take
78,get
79,cut
80,open
81,sun
82,poisoned
83,offer
84,stands
85,forever
86,new
87,haircut
88,new
89,bracelet
90,eyeliner
91,—the
92,hell
93,town
94,find
95,conversation
96,low-fuel
97,light's
98,days
99,mean
100,anything
101,i've
102,got
103,another
104,500
105,'nother
106,500
107,miles
108,shut
109,engine
110,shut
111,i'm
112,gonna
113,stay
114,eighteen
115,forever
116,stay
117,like
118,forever
119,we'll
120,never
121,miss
122,party
123,'cause
124,keep
125,goin'
126,constantly
127,we'll
128,never
129,listen
130,anyone
131,anything
132,'cause
133,done
134,said
135,we're
136,coolest
137,kids
138,take
139,get
140,cut
141,open
142,sun
143,poisoned
144,offer
145,stands
146,forever
147,new
148,haircut
149,new
150,bracelet
151,eyeliner
152,wait
153,forever
154,eighteen
155,forever
156,stay
157,like
158,forever
159,we'll
160,never
161,miss
162,party
163,'cause
164,keep
165,going
166,constantly
167,we'll
168,never
169,listen
170,anyone
171,anything
172,'cause
173,done
174,said
175,we're
176,coolest
177,kids
178,take
179,get
180,jealous
181,'cause
182,i'm
183,young
184,love
185,stomach's
186,filled
187,starved
188,conversation
189,spending
190,nights
191,growing
192,old
193,bed
194,tearin'
195,photos
196,'cause
197,want
198,forget—
199,jealous
200,'cause
201,i'm
202,young
203,love
204,stomach's
205,filled
206,starved
207,conversation
208,spending
209,nights
210,growing
211,old
212,bed
213,tearin'
214,photos
215,'cause
216,want
217,forget—
218,outro
219,jealous
220,cause
221,we're
222,young
223,love
224,jealous
225,'cause
226,we're
227,young
228,love
229,jealous
230,'cause
231,we're
232,young
233,love
234,jealous
235,'cause
236,we're
237,young
238,love
239,jealous
240,'cause
241,we're
242,young
243,love
244,jeal—
