,Hate_Cat Power
0,anyone
1,tell
2,you
3,there's
4,road
5,ride
6,everyone
7,tell
8,you
9,there's
10,place
11,hide
12,there's
13,laws
14,rules
15,unchain
16,your
17,life
18,ones
19,make
20,ones
21,take
22,glad
23,made
24,alive
25,everyone
26,loves
27,fun
28,everyone
29,comes
30,wind
31,i
32,crunch
33,i
34,want
35,die
36,give
37,me
38,pills
39,let
40,me
41,drink
42,my
43,fill
44,heart
45,wants
46,explode
47,far
48,away
49,nobody
50,knows
51,you
52,believe
53,she
54,said
55,you
56,believe
57,she
58,said
59,i
60,said
61,i
62,hate
63,myself
64,i
65,want
66,die
67,half
68,innocent
69,half
70,wise
71,whole
72,damn
73,thing
74,makes
75,sense
76,i
77,wish
78,i
79,could
80,tell
81,you
82,lie
83,hey
84,come
85,let
86,me
87,whisper
88,your
89,ear
90,i
91,hate
92,myself
93,i
94,want
95,die
96,you
97,believe
98,she
99,said
100,you
101,believe
102,she
103,repeated
104,i
105,said
106,i
107,hate
108,me
109,myself
110,i
111,said
112,i
113,hate
114,myself
115,i
116,want
117,die
