,Mix Tape_Brand New
0,i
1,got
2,twenty
3,dollar
4,bill
5,says
6,one's
7,ever
8,seen
9,you
10,without
11,makeup
12,you're
13,always
14,made
15,i'm
16,sick
17,your
18,tattoos
19,way
20,you
21,always
22,criticize
23,smiths
24,morrissey
25,i
26,know
27,you're
28,sucker
29,anything
30,acoustic
31,i
32,say
33,let's
34,keep
35,touch
36,i
37,really
38,mean
39,i
40,wish
41,you'd
42,grow
43,first
44,song
45,your
46,mixtape
47,short
48,like
49,your
50,temper
51,somewhat
52,golden
53,like
54,afternoons
55,used
56,spend
57,you
58,got
59,cool
60,i
61,got
62,twentydollar
63,bill
64,says
65,one's
66,ever
67,seen
68,you
69,without
70,makeup
71,you're
72,always
73,made
74,i'm
75,sick
76,your
77,tattoos
78,way
79,you
80,appreciate
81,brand
82,new
83,me
84,i
85,know
86,you're
87,sucker
88,anything
89,acoustic
90,i
91,say
92,let's
93,keep
94,touch
95,i
96,hope
97,you
98,know
99,i
100,mean
101,i
102,wish
103,you'd
104,grow
105,first
106,song
107,your
108,mixtape
109,short
110,like
111,your
112,temper
113,somewhat
114,golden
115,like
116,afternoons
117,used
118,spend
119,you
120,got
121,cool
122,yeah
123,i
124,wish
125,you
126,my
127,shadow
