,Take Me Anywhere_Tegan and Sara
0,bright
1,like
2,stars
3,me
4,proud
5,like
6,my
7,mother
8,planned
9,short
10,things
11,i
12,want
13,i'm
14,full
15,love
16,longing
17,take
18,me
19,hand
20,tell
21,me
22,you
23,would
24,take
25,me
26,anywhere
27,you
28,would
29,take
30,me
31,anywhere
32,still
33,i
34,want
35,move
36,thing
37,hopes
38,you'll
39,fit
40,right
41,me
42,things
43,i
44,want
45,they're
46,full
47,love
48,longing
49,take
50,me
51,hand
52,tell
53,me
54,you
55,would
56,take
57,me
58,anywhere
59,anywhere
60,you
61,would
62,take
63,me
64,anywhere
65,anywhere
66,take
67,me
68,hand
69,tell
70,me
71,you
72,would
73,take
74,me
75,anywhere
76,anywhere
77,you
78,would
79,take
80,me
81,anywhere
82,postchorus
83,goes
84,like
85,come
86,come
87,me
88,goes
89,like
90,come
91,come
92,me
93,you
94,you
95,say
96,you
97,see
98,part
99,me
100,love
101,mess
102,i
103,know
104,you
105,take
106,good
107,bad
108,comes
109,me
110,take
111,me
112,hand
113,tell
114,me
115,you
116,would
117,take
118,me
119,anywhere
120,anywhere
121,you
122,would
123,take
124,me
125,anywhere
126,anywhere
127,take
128,me
129,hand
130,tell
131,me
132,you
133,would
134,take
135,me
136,anywhere
137,anywhere
138,you
139,would
140,take
141,me
142,anywhere
143,postchorus
144,goes
145,like
146,come
147,come
148,me
149,goes
150,like
151,come
152,come
153,me
154,goes
155,like
156,come
157,come
158,me
159,goes
160,like
161,come
162,come
163,me
