,The Bird and The Worm_Owl City
0,bird
1,whenever
2,pretend
3,summer
4,i'm
5,worm
6,know
7,part
8,bummer
9,fair
10,fair
11,segments
12,get
13,separated
14,i'll
15,scream
16,close
17,eyes
18,close
19,eyes
20,slide
21,cotton
22,shoulder
23,feel
24,shine
25,feel
26,shine
27,i'm
28,hooked
29,toss
30,cast
31,line
32,well
33,i'll
34,try
35,i'll
36,throw
37,party
38,greet
39,undersea
40,friends
41,depends
42,arrive
43,arrive
44,left
45,troubles
46,far
47,behind
48,troubles
49,far
50,behind
51,still
52,one
53,question
54,mind
55,pals
56,live
57,oceans
58,seas
59,friends
60,like
61,well
62,needs
63,enemies
64,i'm
65,boy
66,let's
67,take
68,shortcut
69,remember
70,we'll
71,enjoy
72,picking
73,apples
74,late
75,september
76,like
77,we've
78,done
79,years
80,we'll
81,take
82,long
83,walk
84,cornfield
85,i'll
86,kiss
87,ears
88,girl
89,swirl
90,around
91,room
92,feeling
93,twirl
94,glow
95,dark
96,stars
97,ceiling
98,shine
99,us
100,love
101,sweeps
102,room
103,tend
104,make
105,blush
106,make
107,blush
108,left
109,troubles
110,far
111,behind
112,troubles
113,far
114,behind
115,still
116,one
117,question
118,mind
119,pals
120,live
121,oceans
122,seas
123,fronds
124,like
125,well
126,needs
127,anemones
128,outro
129,bird
130,i'm
131,worm
132,plain
133,see
134,meant
135,meant
136,meant
137,bird
138,bird
139,i'm
140,worm
141,meant
