,Glorious_Muse
0,rose-tinted
1,view
2,satellites
3,compromise
4,truth
5,wanted
6,cuts
7,bruises
8,touch
9,face
10,hopeless
11,embrace
12,faith
13,drives
14,away
15,turns
16,like
17,stranger's
18,love
19,rockets
20,universe
21,fuels
22,lies
23,feeds
24,curse
25,could
26,glorious
27,need
28,believe
29,still
30,want
31,cuts
32,bruises
33,close
34,door
35,adore
36,yeah
37,faith
38,drives
39,away
40,turns
41,like
42,stranger's
43,love
44,rockets
45,universe
46,fuels
47,lies
48,feeds
49,curse
50,could
51,glorious
