,Love Is a Losing Game_Amy Winehouse
0,you
1,i
2,flame
3,love
4,losing
5,game
6,five
7,story
8,fire
9,you
10,came
11,love
12,losing
13,game
14,one
15,i
16,wish
17,i
18,never
19,played
20,oh
21,mess
22,made
23,final
24,frame
25,love
26,losing
27,game
28,played
29,band
30,love
31,losing
32,hand
33,i
34,could
35,stand
36,love
37,losing
38,hand
39,self
40,professed
41,profound
42,'til
43,chips
44,know
45,you're
46,gambling
47,man
48,love
49,losing
50,hand
51,though
52,i
53,battle
54,blind
55,love
56,fate
57,resigned
58,memories
59,mar
60,my
61,mind
62,love
63,fate
64,resigned
65,futile
66,odds
67,laughed
68,gods
69,final
70,frame
71,love
72,losing
73,game
