,Terrible Angels_CocoRosie
0,every
1,angel's
2,terrible
3,welcome
4,every
5,angel's
6,terrible
7,welcome
8,every
9,angel's
10,terrible
11,welcome
12,say
13,provide
14,birdbath
15,provide
16,skin
17,bathing
18,moonlight
19,i'm
20,tremble
21,like
22,kitten
23,blue
24,eyed
25,babes
26,raised
27,hitler's
28,little
29,brides
30,sons
31,got
32,angelic
33,tendencies
34,like
35,boys
36,tend
37,act
38,like
39,queens
40,every
41,angel's
42,terrible
43,watch
44,sleep
45,love
46,hear
47,sing
48,wear
49,purple
50,eyes
51,like
52,rings
53,flowers
54,scent
55,child's
56,miscarried
57,every
58,angel's
59,terrible
60,welcome
61,every
62,angel's
63,terrible
64,welcome
65,every
66,angel's
67,terrible
68,welcome
69,say
70,provide
71,birdbath
72,provide
73,skin
74,bathing
75,moonlight
76,i'm
77,tremble
78,like
79,kitten
80,oh
81,every
82,angel's
83,terrible
84,said
85,freud
86,rilke
87,rimbaud
88,never
89,paid
90,mind
91,jimmy
92,morrison
93,elevators
94,elevators
95,elevator
96,angels
97,every
98,angel's
99,terrible
100,hide
101,inside
102,like
103,child
104,skirt
105,supermarket's
106,loud
107,bright
108,boy
109,feel
110,warm
111,tonight
112,boy
113,feel
114,warm
115,tonight
116,boy
117,feel
118,warm
119,tonight
120,every
121,angel's
122,terrible
123,welcome
124,every
125,angel's
126,terrible
127,welcome
128,every
129,angel's
130,terrible
131,welcome
132,say
133,provide
134,birdbath
135,provide
136,skin
137,sounded
138,like
139,angel
140,cried
