,Bright Lights_Matchbox Twenty
0,she
1,got
2,town
3,railway
4,new
5,york
6,bound
7,took
8,except
9,my
10,name
11,another
12,alien
13,broadway
14,prechorus
15,there's
16,things
17,world
18,you
19,can't
20,change
21,things
22,you
23,can't
24,see
25,gets
26,late
27,baby
28,baby
29,baby
30,your
31,love
32,gone
33,save
34,me
35,i'm
36,against
37,world
38,maybe
39,maybe
40,maybe
41,you'll
42,find
43,somethin'
44,that's
45,enough
46,keep
47,you
48,bright
49,lights
50,receive
51,you
52,you
53,turn
54,yourself
55,around
56,come
57,home
58,i
59,got
60,hole
61,me
62,yeah
63,i
64,got
65,scar
66,i
67,talk
68,she
69,keeps
70,picture
71,me
72,her
73,apartment
74,city
75,prechorus
76,things
77,world
78,man
79,make
80,sense
81,things
82,you
83,need
84,leave
85,you
86,they're
87,things
88,you
89,miss
90,you
91,say
92,baby
93,baby
94,baby
95,your
96,love
97,gone
98,save
99,me
100,i'm
101,against
102,world
103,maybe
104,maybe
105,maybe
106,you'll
107,find
108,somethin'
109,that's
110,enough
111,keep
112,you
113,bright
114,lights
115,receive
116,you
117,you
118,turn
119,yourself
120,around
121,come
122,home
123,let
124,city
125,take
126,you
127,come
128,home
129,let
130,city
131,spit
132,you
133,come
134,home
135,let
136,city
137,take
138,you
139,god's
140,sake
141,turn
142,around
143,baby
144,baby
145,baby
146,your
147,love
148,gone
149,save
150,me
151,i'm
152,against
153,world
154,yeah
155,well
156,maybe
157,maybe
158,maybe
159,you'll
160,find
161,somethin'
162,that's
163,enough
164,keep
165,you
166,bright
167,lights
168,receive
169,you
170,turn
171,yourself
172,around
173,come
174,home
175,yeah
176,come
177,home
178,maybe
179,maybe
180,baby
181,baby
182,come
183,home
184,yeah
185,come
186,home
187,come
188,home
189,come
190,home
