,Green Eyes_Coldplay
0,honey
1,you
2,rock
3,upon
4,i
5,stand
6,i
7,come
8,talk
9,i
10,hope
11,you
12,understand
13,green
14,eyes
15,yeah
16,spotlight
17,shines
18,upon
19,you
20,could
21,anybody
22,deny
23,you
24,i
25,came
26,load
27,feels
28,much
29,lighter
30,i've
31,met
32,you
33,honey
34,you
35,know
36,i
37,could
38,never
39,go
40,without
41,you
42,green
43,eyes
44,honey
45,you
46,sea
47,upon
48,i
49,float
50,i
51,came
52,talk
53,i
54,think
55,you
56,know
57,green
58,eyes
59,you're
60,one
61,i
62,wanted
63,find
64,anyone
65,tried
66,deny
67,you
68,must
69,minds
70,i
71,came
72,load
73,feels
74,much
75,lighter
76,since
77,i've
78,met
79,you
80,honey
81,you
82,know
83,i
84,could
85,never
86,go
87,without
88,you
89,green
90,eyes
91,green
92,eyes
93,honey
94,you
95,rock
96,upon
97,i
98,stand
