,Don't Speak_No Doubt
0,you
1,me
2,used
3,together
4,every
5,day
6,together
7,always
8,i
9,really
10,feel
11,i'm
12,losin'
13,my
14,best
15,friend
16,i
17,can't
18,believe
19,could
20,end
21,looks
22,though
23,you're
24,lettin'
25,go
26,real
27,well
28,i
29,want
30,know
31,speak
32,i
33,know
34,you're
35,sayin'
36,please
37,stop
38,explainin'
39,tell
40,me
41,'cause
42,hurts
43,speak
44,i
45,know
46,you're
47,thinkin'
48,i
49,need
50,your
51,reasons
52,tell
53,me
54,'cause
55,hurts
56,memories
57,well
58,inviting
59,altogether
60,mighty
61,frightening
62,die
63,you
64,i
65,my
66,head
67,my
68,hands
69,i
70,sit
71,cry
72,speak
73,i
74,know
75,you're
76,sayin'
77,please
78,stop
79,explainin'
80,tell
81,me
82,'cause
83,hurts
84,speak
85,i
86,know
87,you're
88,thinkin'
89,i
90,need
91,your
92,reasons
93,tell
94,me
95,'cause
96,hurts
97,ending
98,gotta
99,stop
100,pretending
101,guitar
102,solo
103,you
104,me
105,i
106,see
107,us
108,dyin'
109,speak
110,i
111,know
112,you're
113,sayin'
114,please
115,stop
116,explainin'
117,tell
118,me
119,'cause
120,hurts
121,speak
122,i
123,know
124,you're
125,thinkin'
126,i
127,need
128,your
129,reasons
130,tell
131,me
132,'cause
133,hurts
134,tell
135,me
136,'cause
137,hurts
138,i
139,know
140,you're
141,sayin'
142,please
143,stop
144,explainin'
145,speak
146,speak
147,speak
148,i
149,know
150,you're
151,thinkin'
152,i
153,need
154,your
155,reasons
156,i
157,know
158,you're
159,good
160,i
161,know
162,you're
163,good
164,i
165,know
166,you're
167,real
168,good
169,oh
170,la
171,la
172,la
173,la
174,la
175,la
176,ooh
177,ooh
178,hush
179,hush
180,darling
181,hush
182,hush
183,darling
184,hush
185,hush
186,tell
187,me
188,'cause
189,hurts
190,hush
191,hush
192,darling
193,hush
194,hush
195,darling
196,hush
197,hush
198,tell
199,me
200,'cause
201,hurts
202,oh
203,hush
204,hush
205,darling
206,hush
207,hush
208,darling
