,One_U2
0,getting
1,better
2,feel
3,make
4,easier
5,got
6,someone
7,blame
8,say
9,one
10,love
11,one
12,life
13,one
14,need
15,night
16,one
17,love
18,get
19,share
20,leaves
21,baby
22,care
23,disappoint
24,leave
25,bad
26,taste
27,mouth
28,act
29,like
30,never
31,love
32,want
33,go
34,without
35,well
36,late
37,tonight
38,drag
39,past
40,light
41,we're
42,one
43,we're
44,get
45,carry
46,carry
47,one
48,come
49,forgiveness
50,come
51,raise
52,dead
53,come
54,play
55,jesus
56,lepers
57,head
58,ask
59,much
60,lot
61,gave
62,nothing
63,got
64,we're
65,one
66,we're
67,well
68,hurt
69,bridge
70,say
71,love
72,temple
73,love
74,higher
75,law
76,love
77,temple
78,love
79,higher
80,law
81,ask
82,enter
83,make
84,crawl
85,can't
86,holding
87,got
88,got
89,hurt
90,one
91,love
92,one
93,blood
94,one
95,life
96,got
97,one
98,life
99,sisters
100,brothers
101,one
102,life
103,we're
104,get
105,carry
106,carry
107,one
108,one
109,outro
110,ooh-ooh-ooh
111,oh-ooh
112,may
113,may
114,may
115,get
116,higher
117,oh
118,higher
119,ay
120,yeah
121,go
122,higher
123,oh
124,higher
