,All You Need Is Love_The Beatles
0,love
1,love
2,love
3,love
4,love
5,love
6,love
7,love
8,love
9,there's
10,nothing
11,you
12,can't
13,done
14,nothing
15,you
16,sing
17,can't
18,sung
19,nothing
20,you
21,say
22,you
23,learn
24,play
25,game
26,easy
27,nothing
28,you
29,make
30,can't
31,made
32,one
33,you
34,save
35,can't
36,saved
37,nothing
38,you
39,you
40,learn
41,you
42,time
43,easy
44,you
45,need
46,love
47,you
48,need
49,love
50,you
51,need
52,love
53,love
54,love
55,you
56,need
57,you
58,need
59,love
60,you
61,need
62,love
63,you
64,need
65,love
66,love
67,love
68,you
69,need
70,there's
71,nothing
72,you
73,know
74,known
75,nothing
76,you
77,see
78,shown
79,there's
80,nowhere
81,you
82,you're
83,meant
84,easy
85,you
86,need
87,love
88,you
89,need
90,love
91,you
92,need
93,love
94,love
95,love
96,you
97,need
98,you
99,need
100,love
101,together
102,you
103,need
104,love
105,everybody
106,you
107,need
108,love
109,love
110,love
111,you
112,need
113,yesterday
114,oh
115,yeah
116,she
117,loves
118,you
119,yeah
120,yeah
121,yeah
122,she
123,loves
124,you
125,yeah
126,yeah
127,yeah
128,oh
129,yesterday
