,Ho Hey_The Lumineers
0,trying
1,right
2,living
3,lonely
4,life
5,sleepin'
6,instead
7,sleepin'
8,bed
9,sleepin'
10,bed
11,show
12,family
13,blood
14,bleed
15,know
16,belong
17,know
18,went
19,wrong
20,write
21,song
22,hook
23,belong
24,belong
25,sweetheart
26,belong
27,belong
28,sweetheart
29,think
30,right
31,think
32,might
33,took
34,bus
35,chinatown
36,i'd
37,standin'
38,canal
39,bowery
40,she'd
41,standin'
42,next
43,hook
44,belong
45,belong
46,sweetheart
47,belong
48,belong
49,sweetheart
50,bridge
51,love
52,need
53,let's
54,hope
55,cause
56,oh
57,we're
58,bleedin'
59,hook
60,belong
61,belong
62,sweetheart
63,belong
64,belong
65,sweetheart
