,There Is a Light That Never Goes Out_The Smiths
0,take
1,me
2,tonight
3,there's
4,music
5,there's
6,people
7,they're
8,young
9,alive
10,driving
11,your
12,car
13,i
14,never
15,never
16,want
17,go
18,home
19,i
20,got
21,one
22,anymore
23,take
24,me
25,tonight
26,i
27,want
28,see
29,people
30,i
31,want
32,see
33,life
34,driving
35,your
36,car
37,oh
38,please
39,drop
40,me
41,home
42,my
43,home
44,home
45,i'm
46,welcome
47,doubledecker
48,bus
49,crashes
50,us
51,die
52,your
53,side
54,heavenly
55,way
56,die
57,tentonne
58,truck
59,kills
60,us
61,die
62,your
63,side
64,well
65,pleasure
66,privilege
67,mine
68,take
69,me
70,tonight
71,take
72,me
73,anywhere
74,i
75,care
76,i
77,care
78,i
79,care
80,darkened
81,underpass
82,i
83,thought
84,oh
85,god
86,my
87,chance
88,come
89,last
90,strange
91,fear
92,gripped
93,me
94,i
95,ask
96,take
97,me
98,tonight
99,oh
100,take
101,me
102,anywhere
103,i
104,care
105,i
106,care
107,i
108,care
109,driving
110,your
111,car
112,i
113,never
114,never
115,want
116,go
117,home
118,i
119,got
120,one
121,ladidum
122,oh
123,i
124,got
125,one
126,oh
127,oh
128,doubledecker
129,bus
130,crashes
131,us
132,die
133,your
134,side
135,heavenly
136,way
137,die
138,tentonne
139,truck
140,kills
141,us
142,die
143,your
144,side
145,well
146,pleasure
147,privilege
148,mine
149,oh
150,light
151,never
152,goes
153,light
154,never
155,goes
156,light
157,never
158,goes
159,light
160,never
161,goes
162,light
163,never
164,goes
165,light
166,never
167,goes
168,light
169,never
170,goes
171,light
172,never
173,goes
