,Just the Way You Are_Bruno Mars
0,oh
1,her
2,eyes
3,her
4,eyes
5,make
6,stars
7,look
8,like
9,they're
10,shinin'
11,her
12,hair
13,her
14,hair
15,falls
16,perfectly
17,without
18,her
19,trying
20,beautiful
21,i
22,tell
23,her
24,every
25,day
26,yeah
27,i
28,know
29,i
30,know
31,i
32,compliment
33,her
34,she
35,believe
36,me
37,sad
38,think
39,she
40,see
41,i
42,see
43,every
44,time
45,she
46,asks
47,me
48,i
49,look
50,okay
51,i
52,say
53,i
54,see
55,your
56,face
57,there's
58,thing
59,i
60,would
61,change
62,'cause
63,you're
64,amazing
65,way
66,you
67,you
68,smile
69,whole
70,world
71,stops
72,stares
73,'cause
74,girl
75,you're
76,amazing
77,way
78,you
79,her
80,lips
81,her
82,lips
83,i
84,could
85,kiss
86,day
87,she'd
88,let
89,me
90,her
91,laugh
92,her
93,laugh
94,she
95,hates
96,i
97,think
98,sexy
99,beautiful
100,i
101,tell
102,her
103,every
104,day
105,oh
106,you
107,know
108,you
109,know
110,you
111,know
112,i'd
113,never
114,ask
115,you
116,change
117,perfect's
118,you're
119,searching
120,stay
121,even
122,bother
123,asking
124,you
125,look
126,okay
127,you
128,know
129,i'll
130,say
131,i
132,see
133,your
134,face
135,there's
136,thing
137,i
138,would
139,change
140,'cause
141,you're
142,amazing
143,way
144,you
145,you
146,smile
147,whole
148,world
149,stops
150,stares
151,'cause
152,girl
153,you're
154,amazing
155,way
156,you
157,postchorus
158,way
159,you
160,way
161,you
162,girl
163,you're
164,amazing
165,way
166,you
167,i
168,see
169,your
170,face
171,there's
172,thing
173,i
174,would
175,change
176,'cause
177,you're
178,amazing
179,way
180,you
181,you
182,smile
183,whole
184,world
185,stops
186,stares
187,'cause
188,girl
189,you're
190,amazing
191,way
192,you
193,yeah
