,Kiss Me_Sixpence None the Richer
0,kiss
1,me
2,bearded
3,barley
4,nightly
5,beside
6,green
7,green
8,grass
9,swing
10,swing
11,swing
12,spinning
13,step
14,you
15,wear
16,shoes
17,i
18,wear
19,dress
20,oh
21,kiss
22,me
23,beneath
24,milky
25,twilight
26,lead
27,me
28,moonlit
29,floor
30,lift
31,your
32,open
33,hand
34,strike
35,band
36,make
37,fireflies
38,dance
39,silver
40,moon's
41,sparkling
42,kiss
43,me
44,kiss
45,me
46,broken
47,tree
48,house
49,swing
50,me
51,upon
52,hanging
53,tire
54,bring
55,bring
56,bring
57,your
58,flowered
59,hat
60,we'll
61,take
62,trail
63,marked
64,your
65,father's
66,map
67,oh
68,kiss
69,me
70,beneath
71,milky
72,twilight
73,lead
74,me
75,moonlit
76,floor
77,lift
78,your
79,open
80,hand
81,strike
82,band
83,make
84,fireflies
85,dance
86,silver
87,moon's
88,sparkling
89,kiss
90,me
91,instrumental
92,break
93,kiss
94,me
95,beneath
96,milky
97,twilight
98,lead
99,me
100,moonlit
101,floor
102,lift
103,your
104,open
105,hand
106,strike
107,band
108,make
109,fireflies
110,dance
111,silver
112,moon's
113,sparkling
114,kiss
115,me
116,kiss
117,me
118,kiss
119,me
120,kiss
121,me
