,I Want to Hold Your Hand_The Beatles
0,paul
1,mccartney
2,&
3,john
4,lennon
5,oh
6,yeah
7,i'll
8,tell
9,something
10,think
11,understand
12,i'll
13,say
14,something
15,want
16,hold
17,hand
18,paul
19,mccartney
20,&
21,john
22,lennon
23,want
24,hold
25,hand
26,want
27,hold
28,hand
29,paul
30,mccartney
31,&
32,john
33,lennon
34,oh
35,please
36,say
37,let
38,man
39,please
40,say
41,let
42,hold
43,hand
44,paul
45,mccartney
46,&
47,john
48,lennon
49,let
50,hold
51,hand
52,want
53,hold
54,hand
55,bridge
56,paul
57,mccartney
58,&
59,john
60,lennon
61,touch
62,feel
63,happy
64,inside
65,feeling
66,love
67,can't
68,hide
69,can't
70,hide
71,can't
72,hide
73,paul
74,mccartney
75,&
76,john
77,lennon
78,yeah
79,got
80,something
81,think
82,understand
83,i'll
84,say
85,something
86,want
87,hold
88,hand
89,paul
90,mccartney
91,&
92,john
93,lennon
94,want
95,hold
96,hand
97,want
98,hold
99,hand
100,bridge
101,paul
102,mccartney
103,&
104,john
105,lennon
106,touch
107,feel
108,happy
109,inside
110,feeling
111,love
112,can't
113,hide
114,can't
115,hide
116,can't
117,hide
118,paul
119,mccartney
120,&
121,john
122,lennon
123,yeah
124,got
125,something
126,think
127,understand
128,feel
129,something
130,want
131,hold
132,hand
133,paul
134,mccartney
135,&
136,john
137,lennon
138,want
139,hold
140,hand
141,want
142,hold
143,hand
144,want
145,hold
146,hand
