,Young and Beautiful_Lana Del Rey
0,i've
1,seen
2,world
3,done
4,cake
5,diamonds
6,brilliant
7,bel
8,air
9,hot
10,summer
11,nights
12,mid-july
13,forever
14,wild
15,crazy
16,days
17,city
18,lights
19,way
20,play
21,like
22,child
23,still
24,love
25,i'm
26,longer
27,young
28,beautiful
29,still
30,love
31,got
32,nothing
33,aching
34,soul
35,know
36,know
37,know
38,still
39,love
40,i'm
41,longer
42,beautiful
43,i've
44,seen
45,world
46,lit
47,stage
48,channeling
49,angels
50,new
51,age
52,hot
53,summer
54,days
55,rock
56,roll
57,way
58,play
59,show
60,ways
61,got
62,know
63,pretty
64,face
65,electric
66,soul
67,still
68,love
69,i'm
70,longer
71,young
72,beautiful
73,still
74,love
75,got
76,nothing
77,aching
78,soul
79,know
80,know
81,know
82,still
83,love
84,i'm
85,longer
86,beautiful
87,bridge
88,dear
89,lord
90,get
91,heaven
92,please
93,let
94,bring
95,man
96,comes
97,tell
98,let
99,father
100,tell
101,grace
102,body
103,face
104,makes
105,wanna
106,party
107,he's
108,sun
109,makes
110,shine
111,like
112,diamonds
113,still
114,love
115,i'm
116,longer
117,young
118,beautiful
119,still
120,love
121,got
122,nothin'
123,aching
124,soul
125,know
126,know
127,know
128,still
129,love
130,i'm
131,longer
132,beautiful
133,outro
134,still
135,love
136,i'm
137,longer
138,beautiful
139,still
140,love
141,i'm
142,young
143,beautiful
