,Off to the Races_Lana Del Rey
0,produced
1,emile
2,haynie
3,&
4,patrik
5,berger
6,old
7,man
8,bad
9,man
10,can't
11,deny
12,way
13,holds
14,hand
15,grabs
16,heart
17,mind
18,las
19,vegas
20,past
21,mind
22,la
23,crass
24,way
25,loves
26,every
27,beat
28,cocaine
29,heart
30,refrain
31,swimming
32,pool
33,glimmering
34,darling
35,white
36,bikini
37,red
38,nail
39,polish
40,watch
41,swimming
42,pool
43,bright
44,blue
45,ripples
46,sittin'
47,sippin'
48,black
49,cristal
50,oh
51,yeah
52,pre-chorus
53,light
54,life
55,fire
56,loins
57,good
58,baby
59,want
60,light
61,life
62,fire
63,loins
64,gimme
65,gold
66,coins
67,gimme
68,coins
69,i'm
70,races
71,cases
72,bacardi
73,chasers
74,chasing
75,town
76,'cause
77,knows
78,i'm
79,wasted
80,facing
81,time
82,rikers
83,island
84,get
85,i'm
86,crazy
87,baby
88,need
89,come
90,save
91,i'm
92,little
93,scarlet
94,starlet
95,singing
96,garden
97,kiss
98,open
99,mouth
100,ready
101,old
102,man
103,tough
104,man
105,got
106,soul
107,sweet
108,blood
109,red
110,jam
111,shows
112,knows
113,every
114,inch
115,tar
116,black
117,soul
118,mind
119,flat
120,broke-down
121,life
122,fact
123,says
124,thinks
125,might
126,like
127,admires
128,way
129,roll
130,like
131,rollin'
132,stone
133,refrain
134,likes
135,watch
136,glass
137,room
138,bathroom
139,chateau
140,marmont
141,slippin'
142,red
143,dress
144,puttin'
145,makeup
146,glass
147,room
148,perfume
149,cognac
150,lilac
151,fumes
152,says
153,feels
154,like
155,heaven
156,pre-chorus
157,light
158,life
159,fire
160,loins
161,keep
162,forever
163,tell
164,light
165,life
166,fire
167,loins
168,tell
169,gimme
170,coins
171,i'm
172,races
173,cases
174,bacardi
175,chasers
176,chasing
177,town
178,'cause
179,knows
180,i'm
181,wasted
182,facing
183,time
184,rikers
185,island
186,get
187,i'm
188,crazy
189,baby
190,need
191,come
192,save
193,i'm
194,little
195,scarlet
196,starlet
197,singing
198,garden
199,kiss
200,open
201,mouth
202,yo
203,i'm
204,races
205,laces
206,leather
207,waist
208,tight
209,falling
210,see
211,face
212,shameless
213,cipriani's
214,basement
215,love
216,i'm
217,going
218,god
219,i'm
220,crazy
221,baby
222,i'm
223,sorry
224,i'm
225,misbehaving
226,i'm
227,little
228,harlot
229,starlet
230,queen
231,coney
232,island
233,raising
234,hell
235,town
236,sorry
237,'bout
238,bridge
239,old
240,man
241,thief
242,i'm
243,gonna
244,stay
245,pray
246,'til
247,end
248,trust
249,decision
250,lord
251,watch
252,us
253,take
254,may
255,may
256,i'm
257,afraid
258,say
259,i'd
260,die
261,without
262,else
263,gonna
264,put
265,way
266,need
267,breathe
268,i'd
269,never
270,leave
271,would
272,rue
273,day
274,alone
275,without
276,lying
277,gold
278,chain
279,cigar
280,hanging
281,lips
282,said
283,"""hon'"
284,never
285,looked
286,beautiful
287,"man"""
288,we're
289,races
290,places
291,ready
292,set
293,gate
294,we're
295,goin'
296,las
297,vegas
298,chaos
299,casino
300,oasis
301,honey
302,time
303,spin
304,boy
305,crazy
306,baby
307,love
308,forever
309,maybe
310,one
311,true
312,love
313,one
314,true
315,love
316,outro
317,one
318,true
319,love
