,Bridge over Troubled Water_Simon & Garfunkel
0,1when
1,youre
2,wearyfeeling
3,smallwhen
4,tears
5,eyesi
6,dry
7,allim
8,sidewhen
9,times
10,get
11,roughand
12,friends
13,cant
14,foundchoruslike
15,bridge
16,troubled
17,wateri
18,lay
19,downlike
20,bridge
21,troubled
22,wateri
23,lay
24,downverse
25,2when
26,youre
27,outwhen
28,youre
29,streetwhen
30,evening
31,falls
32,hardi
33,comfort
34,youill
35,take
36,partwhen
37,darkness
38,comesand
39,pain
40,aroundchoruslike
41,bridge
42,troubled
43,wateri
44,lay
45,downlike
46,bridge
47,troubled
48,wateri
49,lay
50,downverse
51,3sail
52,silver
53,girlsail
54,byyour
55,time
56,come
57,shineall
58,dreams
59,waysee
60,shine
61,ohif
62,need
63,friendim
64,sailing
65,right
66,behindchoruslike
67,bridge
68,troubled
69,wateri
70,ease
71,mindlike
72,bridge
73,troubled
74,wateri
75,ease
76,mind
