,Thinking Out Loud_Ed Sheeran
0,legs
1,work
2,like
3,used
4,can't
5,sweep
6,feet
7,mouth
8,still
9,remember
10,taste
11,love
12,eyes
13,still
14,smile
15,cheeks
16,darling
17,loving
18,till
19,we're
20,seventy
21,baby
22,heart
23,could
24,still
25,fall
26,hard
27,twenty-three
28,i'm
29,thinking
30,'bout
31,pre-chorus
32,people
33,fall
34,love
35,mysterious
36,ways
37,maybe
38,touch
39,hand
40,well
41,fall
42,love
43,every
44,single
45,day
46,wanna
47,tell
48,honey
49,take
50,loving
51,arms
52,kiss
53,light
54,thousand
55,stars
56,place
57,head
58,beating
59,heart
60,i'm
61,thinking
62,loud
63,maybe
64,found
65,love
66,right
67,hair's
68,gone
69,memory
70,fades
71,crowds
72,remember
73,name
74,hands
75,play
76,strings
77,way
78,know
79,still
80,love
81,'cause
82,honey
83,soul
84,could
85,never
86,grow
87,old
88,evergreen
89,baby
90,smile's
91,forever
92,mind
93,memory
94,i'm
95,thinking
96,'bout
97,pre-chorus
98,people
99,fall
100,love
101,mysterious
102,ways
103,maybe
104,part
105,plan
106,well
107,i'll
108,keep
109,making
110,mistakes
111,hoping
112,understand
113,baby
114,take
115,loving
116,arms
117,kiss
118,light
119,thousand
120,stars
121,place
122,head
123,beating
124,heart
125,i'm
126,thinking
127,loud
128,maybe
129,found
130,love
131,right
132,baby
133,take
134,loving
135,arms
136,kiss
137,light
138,thousand
139,stars
140,oh
141,darling
142,place
143,head
144,beating
145,heart
146,i'm
147,thinking
148,loud
149,maybe
150,found
151,love
152,right
153,oh
154,baby
155,found
156,love
157,right
158,found
159,love
160,right
