,Run_Snow Patrol
0,i'll
1,sing
2,one
3,last
4,time
5,you
6,really
7,go
8,you've
9,thing
10,that's
11,right
12,i've
13,done
14,i
15,barely
16,look
17,you
18,every
19,single
20,time
21,i
22,i
23,know
24,we'll
25,make
26,anywhere
27,away
28,light
29,light
30,you
31,choice
32,even
33,you
34,cannot
35,hear
36,my
37,voice
38,i'll
39,right
40,beside
41,you
42,dear
43,louder
44,louder
45,we'll
46,run
47,lives
48,i
49,hardly
50,speak
51,i
52,understand
53,you
54,can't
55,raise
56,your
57,voice
58,say
59,think
60,i
61,might
62,see
63,eyes
64,makes
65,hard
66,cry
67,say
68,long
69,goodbye
70,i
71,nearly
72,light
73,light
74,you
75,choice
76,even
77,you
78,cannot
79,hear
80,my
81,voice
82,i'll
83,right
84,beside
85,you
86,dear
87,louder
88,louder
89,we'll
90,run
91,lives
92,i
93,hardly
94,speak
95,i
96,understand
97,you
98,can't
99,raise
100,your
101,voice
102,say
103,slower
104,slower
105,time
106,i
107,want's
108,find
109,easy
110,way
111,get
112,little
113,heads
114,heart
115,my
116,dear
117,we're
118,bound
119,afraid
120,even
121,days
122,making
123,mess
124,light
125,light
126,you
127,choice
128,even
129,you
130,cannot
131,hear
132,my
133,voice
134,i'll
135,right
136,beside
137,you
138,dear
