,Chasing Cars_Snow Patrol
0,we'll
1,everything
2,need
3,anything
4,anyone
5,i
6,lay
7,i
8,lay
9,would
10,you
11,lie
12,me
13,forget
14,world
15,i
16,quite
17,know
18,say
19,i
20,feel
21,three
22,words
23,said
24,much
25,they're
26,enough
27,i
28,lay
29,i
30,lay
31,would
32,you
33,lie
34,me
35,forget
36,world
37,forget
38,we're
39,told
40,get
41,old
42,show
43,me
44,garden
45,that's
46,bursting
47,life
48,let's
49,waste
50,time
51,chasing
52,cars
53,around
54,heads
55,i
56,need
57,your
58,grace
59,remind
60,me
61,find
62,my
63,i
64,lay
65,i
66,lay
67,would
68,you
69,lie
70,me
71,forget
72,world
73,forget
74,we're
75,told
76,get
77,old
78,show
79,me
80,garden
81,that's
82,bursting
83,life
84,i
85,i
86,ever
87,your
88,perfect
89,eyes
90,they're
91,i
92,see
93,i
94,know
95,confused
96,well
97,know
98,things
99,never
100,change
101,us
102,i
103,lay
104,i
105,lay
106,would
107,you
108,lie
109,me
110,forget
111,world
