,Wicked Game_Chris Isaak
0,world
1,fire
2,one
3,could
4,save
5,me
6,you
7,strange
8,desire
9,make
10,foolish
11,people
12,i
13,never
14,dreamed
15,i'd
16,meet
17,somebody
18,like
19,you
20,i
21,never
22,dreamed
23,i'd
24,lose
25,somebody
26,like
27,you
28,i
29,wanna
30,fall
31,love
32,world
33,gonna
34,break
35,your
36,heart
37,i
38,wanna
39,fall
40,love
41,world
42,gonna
43,break
44,your
45,heart
46,you
47,you
48,world
49,gonna
50,break
51,your
52,heart
53,wicked
54,game
55,play
56,make
57,me
58,feel
59,way
60,wicked
61,thing
62,let
63,me
64,dream
65,you
66,wicked
67,thing
68,say
69,you
70,never
71,felt
72,way
73,wicked
74,thing
75,make
76,me
77,dream
78,you
79,i
80,wanna
81,fall
82,love
83,world
84,gonna
85,break
86,your
87,heart
88,i
89,wanna
90,fall
91,love
92,world
93,gonna
94,break
95,your
96,heart
97,you
98,interlude
99,world
100,fire
101,one
102,could
103,save
104,me
105,you
106,strange
107,desire
108,make
109,foolish
110,people
111,i
112,never
113,dreamed
114,i'd
115,love
116,somebody
117,like
118,you
119,i
120,never
121,dreamed
122,i'd
123,lose
124,somebody
125,like
126,you
127,i
128,wanna
129,fall
130,love
131,world
132,gonna
133,break
134,your
135,heart
136,i
137,wanna
138,fall
139,love
140,world
141,gonna
142,break
143,your
144,heart
145,you
146,world
147,gonna
148,break
149,your
150,heart
151,you
152,world
153,gonna
154,break
155,your
156,heart
157,i
158,world
159,gonna
160,break
161,your
162,heart
163,world
164,gonna
165,break
166,your
167,heart
168,nobody
169,loves
170,one
