,Heart Skipped a Beat_The xx
0,oliver
1,please
2,say
3,we're
4,done
5,i'm
6,finished
7,'cause
8,i
9,could
10,give
11,much
12,make
13,you
14,feel
15,like
16,never
17,welcome
18,said
19,welcome
20,floor
21,romy
22,you've
23,found
24,someone
25,better
26,i've
27,waiting
28,long
29,give
30,i
31,see
32,i
33,understand
34,sometimes
35,i
36,still
37,need
38,you
39,romy
40,oliver
41,sometimes
42,i
43,still
44,need
45,you
46,sometimes
47,i
48,still
49,need
50,you
51,sometimes
52,i
53,still
54,need
55,you
56,sometimes
57,i
58,still
59,need
60,you
61,sometimes
62,i
63,still
64,need
65,you
66,sometimes
67,i
68,still
69,need
70,you
71,sometimes
72,i
73,still
74,need
75,you
76,romy
77,i
78,struggling
79,get
80,left
81,waiting
82,outside
83,your
84,door
85,i
86,sure
87,you'd
88,give
89,me
90,oliver
91,need
92,come
93,me
94,i
95,make
96,way
97,you
98,you
99,made
100,clear
101,you
102,near
103,near
104,enough
105,me
106,oliver
107,romy
108,heart
109,skipped
110,beat
111,i
112,caught
113,you
114,reach
115,i'm
116,sure
117,i'm
118,sure
119,you've
120,heard
121,heart
122,skipped
123,beat
124,i
125,caught
126,you
127,reach
128,i'm
129,sure
130,i'm
131,sure
132,you've
133,heard
134,heart
135,skipped
136,beat
137,i
138,caught
139,you
140,reach
141,i'm
142,sure
143,i'm
144,sure
145,you've
146,heard
147,heart
148,skipped
149,beat
150,i
151,caught
152,you
153,reach
154,i'm
155,sure
156,i'm
157,sure
158,you've
159,heard
