,When I Was Your Man_Bruno Mars
0,bed
1,feels
2,little
3,bit
4,bigger
5,song
6,radio
7,sound
8,friends
9,talk
10,you
11,tear
12,me
13,'cause
14,my
15,heart
16,breaks
17,little
18,i
19,hear
20,your
21,name
22,prechorus
23,sounds
24,like
25,oooooh
26,ooh
27,mmm
28,young
29,dumb
30,realize
31,i
32,bought
33,you
34,flowers
35,held
36,your
37,hand
38,gave
39,you
40,my
41,hours
42,i
43,chance
44,take
45,you
46,every
47,party
48,'cause
49,you
50,wanted
51,dance
52,my
53,baby's
54,dancing
55,dancing
56,another
57,man
58,my
59,pride
60,my
61,ego
62,my
63,needs
64,my
65,selfish
66,ways
67,caused
68,good
69,strong
70,woman
71,like
72,you
73,walk
74,my
75,life
76,i'll
77,never
78,never
79,get
80,clean
81,mess
82,i
83,made
84,oh
85,haunts
86,me
87,every
88,time
89,i
90,close
91,my
92,eyes
93,prechorus
94,sounds
95,like
96,oooooh
97,ooh
98,mmm
99,young
100,dumb
101,realize
102,i
103,bought
104,you
105,flowers
106,held
107,your
108,hand
109,gave
110,you
111,my
112,hours
113,i
114,chance
115,take
116,you
117,every
118,party
119,'cause
120,you
121,wanted
122,dance
123,my
124,baby's
125,dancing
126,dancing
127,another
128,man
129,although
130,hurts
131,i'll
132,first
133,say
134,i
135,wrong
136,oh
137,i
138,know
139,i'm
140,probably
141,much
142,late
143,try
144,apologize
145,my
146,mistakes
147,i
148,want
149,you
150,know
151,i
152,hope
153,he
154,buys
155,you
156,flowers
157,i
158,hope
159,he
160,holds
161,your
162,hand
163,give
164,you
165,his
166,hours
167,he
168,chance
169,take
170,you
171,every
172,party
173,'cause
174,i
175,remember
176,much
177,you
178,loved
179,dance
180,things
181,i
182,done
183,i
184,your
185,man
186,things
187,i
188,done
189,i
190,your
191,man
