,Last Goodbye_Jeff Buckley
0,last
1,goodbye
2,i
3,hate
4,feel
5,love
6,us
7,die
8,hear
9,i'll
10,go
11,you
12,gave
13,me
14,live
15,you'll
16,ever
17,know
18,well
19,last
20,embrace
21,must
22,i
23,dream
24,always
25,see
26,your
27,face
28,can't
29,overcome
30,wall
31,baby
32,maybe
33,i
34,know
35,you
36,kiss
37,me
38,please
39,kiss
40,me
41,kiss
42,me
43,desire
44,baby
45,consolation
46,oh
47,you
48,know
49,makes
50,me
51,angry
52,cause
53,i
54,know
55,time
56,i'll
57,make
58,you
59,cry
60,last
61,goodbye
62,ohhh
63,instrumental
64,ooooh
65,ooooh
66,ooooohhhhhhhhhhhhhhh
67,you
68,say
69,can't
70,happen
71,me
72,you
73,rush
74,phone
75,call
76,voice
77,unkind
78,back
79,your
80,mind
81,saying
82,maybe
83,you
84,know
85,him
86,you
87,know
88,him
89,oh
90,oh
91,ya
92,know
93,ooohh
94,know
95,well
96,bells
97,church
98,tower
99,chime
100,burning
101,clues
102,heart
103,mine
104,thinking
105,hard
106,her
107,soft
108,eyes
109,memories
110,offer
111,signs
