,First Day of My Life_Bright Eyes
0,first
1,day
2,my
3,life
4,i
5,swear
6,i
7,born
8,right
9,doorway
10,i
11,went
12,rain
13,suddenly
14,everything
15,changed
16,they're
17,spreading
18,blankets
19,beach
20,yours
21,first
22,face
23,i
24,saw
25,i
26,think
27,i
28,blind
29,i
30,met
31,you
32,i
33,don’t
34,know
35,i
36,i
37,don’t
38,know
39,i’ve
40,i
41,know
42,i
43,want
44,go
45,i
46,thought
47,i’d
48,let
49,you
50,know
51,things
52,take
53,forever
54,i
55,especially
56,slow
57,i
58,realize
59,i
60,need
61,you
62,i
63,wondered
64,i
65,could
66,come
67,home
68,mhm
69,mhm
70,remember
71,time
72,you
73,drove
74,night
75,meet
76,me
77,morning
78,i
79,thought
80,strange
81,you
82,said
83,everything
84,changed
85,you
86,felt
87,you'd
88,woke
89,you
90,said
91,“this
92,first
93,day
94,my
95,life
96,i’m
97,glad
98,i
99,didn’t
100,die
101,i
102,met
103,you
104,i
105,don’t
106,care
107,i
108,could
109,go
110,anywhere
111,you
112,i’d
113,probably
114,happy”
115,you
116,want
117,me
118,things
119,there’s
120,telling
121,wait
122,see
123,i’d
124,rather
125,working
126,paycheck
127,waiting
128,win
129,lottery
130,aha
131,mmm
132,beside
133,maybe
134,time
135,different
136,i
137,mean
138,i
139,really
140,think
141,you
142,like
143,me
144,meeee
145,meeeeee
