,All Is Full of Love_Björk
0,you'll
1,given
2,love
3,you'll
4,taken
5,care
6,you'll
7,given
8,love
9,you
10,trust
11,maybe
12,sources
13,you
14,poured
15,yours
16,maybe
17,directions
18,you
19,staring
20,twist
21,your
22,head
23,around
24,around
25,you
26,full
27,love
28,around
29,you
30,prechorus
31,full
32,love
33,you
34,ain't
35,receiving
36,full
37,love
38,your
39,phone
40,full
41,love
42,your
43,doors
44,shut
45,full
46,love
47,full
48,love
49,full
50,love
51,full
52,love
53,full
54,love
55,full
56,love
57,full
58,love
59,full
60,love
61,full
62,love
63,full
64,love
65,full
66,love
67,full
68,love
