,Te Amo_Rihanna
0,te
1,amo
2,te
3,amo
4,says
5,hear
6,pain
7,voice
8,danced
9,underneath
10,candelabra
11,takes
12,lead
13,that's
14,saw
15,eyes
16,said
17,te
18,amo
19,put
20,hand
21,around
22,waist
23,told
24,cried
25,te
26,amo
27,told
28,i'm
29,gonna
30,run
31,away
32,let
33,go
34,soul
35,awry
36,without
37,asking
38,said
39,te
40,amo
41,wish
42,somebody'd
43,tell
44,said
45,mean
46,love
47,think
48,means
49,love
50,mean
51,love
52,te
53,amo
54,te
55,amo
56,scared
57,breathe
58,hold
59,hand
60,got
61,choice
62,uh
63,pulled
64,beach
65,danced
66,water
67,start
68,leave
69,begging
70,asking
71,said
72,te
73,amo
74,put
75,hand
76,around
77,waist
78,told
79,cried
80,te
81,amo
82,told
83,i'm
84,gonna
85,run
86,away
87,let
88,go
89,soul
90,awry
91,without
92,asking
93,said
94,te
95,amo
96,wish
97,somebody'd
98,tell
99,said
100,mean
101,love
102,think
103,means
104,love
105,mean
106,love
107,bridge
108,listen
109,dance
110,gotta
111,watch
112,hands
113,watch
114,night
115,i’m
116,moving
117,light
118,understand
119,need
120,love
121,i'm
122,afraid
123,feel
124,love
125,feel
126,way
127,said
128,te
129,amo
130,put
131,hand
132,around
133,waist
134,told
135,cried
136,te
137,amo
138,told
139,i'm
140,gonna
141,run
142,away
143,let
144,go
145,soul
146,awry
147,without
148,asking
149,said
150,te
151,amo
152,wish
153,somebody'd
154,tell
155,said
156,mean
157,love
158,think
159,means
160,love
161,mean
162,love
163,think
164,means
165,love
166,outro
167,te
168,amo
169,te
170,amo
171,mean
172,love
