,"Hold On, We're Going Home_Drake"
0,produced
1,nineteen85
2,majid
3,jordan
4,&
5,noah
6,"""40"""
7,shebib
8,drake
9,got
10,eyes
11,everything
12,see
13,want
14,hot
15,love
16,emotion
17,endlessly
18,can't
19,get
20,left
21,mark
22,want
23,hot
24,love
25,emotion
26,endlessly
27,pre-hook
28,drake
29,'cause
30,good
31,girl
32,know
33,act
34,different
35,around
36,'cause
37,good
38,girl
39,know
40,know
41,exactly
42,could
43,hook
44,drake
45,hold
46,we're
47,going
48,home
49,hold
50,we're
51,going
52,home
53,hard
54,things
55,alone
56,hold
57,we're
58,going
59,home
60,drake
61,got
62,eyes
63,everything
64,see
65,want
66,hot
67,love
68,emotion
69,endlessly
70,can't
71,get
72,left
73,mark
74,want
75,hot
76,love
77,emotion
78,endlessly
79,pre-hook
80,drake
81,'cause
82,good
83,girl
84,know
85,act
86,different
87,around
88,'cause
89,good
90,girl
91,know
92,know
93,exactly
94,could
95,hook
96,drake
97,&
98,majid
99,jordan
100,hold
101,we're
102,going
103,home
104,going
105,home
106,hold
107,we're
108,going
109,home
110,going
111,home
112,hard
113,things
114,alone
115,things
116,alone
117,hold
118,we're
119,going
120,home
121,going
122,home
123,bridge
124,majid
125,al
126,maskati
127,girl
128,one
129,gave
130,everything
131,loved
132,think
133,there's
134,something
135,baby
136,think
137,there's
138,something
139,baby
140,girl
141,one
142,gave
143,everything
144,loved
145,think
146,there's
147,something
148,baby
149,think
150,there's
151,something
152,baby
153,pre-hook
154,drake
155,&
156,majid
157,al
158,maskati
159,'cause
160,good
161,girl
162,know
163,act
164,different
165,around
166,'cause
167,good
168,girl
169,know
170,know
171,exactly
172,could
173,hook
174,drake
175,&
176,majid
177,jordan
178,hold
179,we're
180,going
181,home
182,going
183,home
184,hold
185,we're
186,going
187,home
188,going
189,home
190,hard
191,things
192,alone
193,things
194,alone
195,hold
196,we're
197,going
198,home
199,going
200,home
