,Head Over Feet_Alanis Morissette
0,i
1,choice
2,hear
3,you
4,you
5,stated
6,your
7,case
8,time
9,i
10,thought
11,you
12,treat
13,me
14,like
15,i'm
16,princess
17,i'm
18,used
19,liking
20,you
21,ask
22,my
23,day
24,you've
25,already
26,me
27,spite
28,me
29,alarmed
30,i
31,fall
32,head
33,feet
34,surprised
35,i
36,love
37,you
38,you
39,i
40,help
41,your
42,fault
43,your
44,love
45,thick
46,swallowed
47,me
48,whole
49,you're
50,much
51,braver
52,i
53,gave
54,you
55,credit
56,that's
57,lip
58,service
59,you've
60,already
61,me
62,spite
63,me
64,alarmed
65,i
66,fall
67,head
68,feet
69,surprised
70,i
71,love
72,you
73,you
74,i
75,help
76,your
77,fault
78,you
79,bearer
80,unconditional
81,things
82,you
83,held
84,your
85,breath
86,door
87,me
88,thanks
89,your
90,patience
91,instrumental
92,you're
93,best
94,listener
95,i've
96,ever
97,met
98,you're
99,my
100,best
101,friend
102,best
103,friend
104,benefits
105,took
106,me
107,long
108,i've
109,never
110,felt
111,healthy
112,i've
113,never
114,wanted
115,something
116,rational
117,i
118,aware
119,oh
120,i
121,aware
122,you've
123,already
124,me
125,spite
126,me
127,alarmed
128,i
129,fall
130,head
131,feet
132,surprised
133,i
134,love
135,you
136,you
137,i
138,help
139,your
140,fault
141,you've
142,already
143,me
144,spite
145,me
146,alarmed
147,i
148,fall
149,head
150,feet
151,surprised
152,i
153,love
154,you
155,you
156,i
157,help
158,your
159,fault
160,i
161,help
162,your
163,fault
