,Angel_Sarah McLachlan
0,spend
1,your
2,time
3,waiting
4,second
5,chance
6,break
7,would
8,make
9,okay
10,there's
11,always
12,reason
13,feel
14,good
15,enough
16,hard
17,end
18,day
19,i
20,need
21,distraction
22,oh
23,beautiful
24,release
25,memory
26,seeps
27,my
28,veins
29,let
30,me
31,empty
32,oh
33,weightless
34,maybe
35,i'll
36,find
37,peace
38,tonight
39,arms
40,angel
41,fly
42,away
43,dark
44,cold
45,hotel
46,room
47,endlessness
48,you
49,fear
50,you
51,pulled
52,wreckage
53,your
54,silent
55,reverie
56,you're
57,arms
58,angel
59,may
60,you
61,find
62,comfort
63,tired
64,straight
65,line
66,everywhere
67,you
68,turn
69,there's
70,vultures
71,thieves
72,your
73,back
74,storm
75,keeps
76,twisting
77,you
78,keep
79,building
80,lie
81,you
82,make
83,you
84,lack
85,make
86,difference
87,escaping
88,one
89,last
90,time
91,easier
92,believe
93,sweet
94,madness
95,oh
96,glorious
97,sadness
98,brings
99,me
100,my
101,knees
102,arms
103,angel
104,fly
105,away
106,dark
107,cold
108,hotel
109,room
110,endlessness
111,you
112,fear
113,you
114,pulled
115,wreckage
116,your
117,silent
118,reverie
119,you're
120,arms
121,angel
122,may
123,you
124,find
125,comfort
126,you're
127,arms
128,angel
129,may
130,you
131,find
132,comfort
