,Love Lost_The Temper Trap
0,love
1,lost
2,we've
3,found
4,love
5,lost
6,oh
7,lost
8,hope
9,gone
10,love
11,lost
12,we've
13,found
14,you
15,flash
16,your
17,heart
18,oh
19,heart
20,i
21,deny
22,i
23,promise
24,i
25,promise
26,your
27,walls
28,cold
29,touch
30,your
31,walls
32,oh
33,high
34,climb
35,i
36,know
37,hard
38,i
39,still
40,hear
41,beating
42,you
43,flash
44,your
45,heart
46,i
47,mistreat
48,i
49,promise
50,i
51,promise
52,i
53,promise
54,love
55,lost
56,rubble
57,things
58,you've
59,you've
60,dreaming
61,keep
62,me
63,mind
64,you're
65,ready
66,i
67,take
68,you
69,every
70,time
71,oh
72,love
73,lost
74,lost
75,lost
76,lost
77,lost
78,lost
79,lost
80,love
81,lost
82,found
