,Baby_Justin Bieber
0,produced
1,thedream
2,tricky
3,stewart
4,justin
5,bieber
6,oh
7,woah
8,oh
9,woah
10,oh
11,woah
12,justin
13,bieber
14,know
15,love
16,know
17,care
18,shout
19,whenever
20,i’ll
21,want
22,love
23,want
24,heart
25,never
26,ever
27,ever
28,apart
29,item
30,girl
31,quit
32,playing
33,we’re
34,friends
35,saying
36,said
37,there’s
38,another
39,looked
40,right
41,eyes
42,first
43,love
44,broke
45,heart
46,first
47,time
48,like
49,justin
50,bieber
51,baby
52,baby
53,baby
54,oh
55,like
56,baby
57,baby
58,baby
59,like
60,baby
61,baby
62,baby
63,oh
64,thought
65,always
66,mine
67,mine
68,baby
69,baby
70,baby
71,oh
72,like
73,baby
74,baby
75,baby
76,like
77,baby
78,baby
79,baby
80,oh
81,thought
82,you’d
83,always
84,mine
85,mine
86,justin
87,bieber
88,oh
89,would
90,done
91,whatever
92,can’t
93,believe
94,ain't
95,together
96,wanna
97,play
98,cool
99,i'm
100,losing
101,i'll
102,buy
103,anything
104,i'll
105,buy
106,ring
107,i'm
108,pieces
109,baby
110,fix
111,shake
112,'til
113,wake
114,bad
115,dream
116,i'm
117,going
118,can’t
119,believe
120,first
121,love
122,won’t
123,around
124,i'm
125,like
126,justin
127,bieber
128,baby
129,baby
130,baby
131,oh
132,like
133,baby
134,baby
135,baby
136,like
137,baby
138,baby
139,baby
140,oh
141,thought
142,you’d
143,always
144,mine
145,mine
146,baby
147,baby
148,baby
149,oh
150,like
151,baby
152,baby
153,baby
154,like
155,baby
156,baby
157,baby
158,oh
159,thought
160,you’d
161,always
162,mine
163,mine
164,ludacris
165,luda
166,first
167,love
168,nobody
169,compared
170,baby
171,nobody
172,came
173,us
174,could
175,ever
176,come
177,going
178,crazy
179,oh
180,starstruck
181,woke
182,daily
183,don’t
184,need
185,starbucks
186,made
187,heart
188,pound
189,skip
190,beat
191,see
192,street
193,school
194,playground
195,really
196,want
197,see
198,weekend
199,knows
200,got
201,dazing
202,cause
203,amazing
204,heart
205,breaking
206,keep
207,saying
208,justin
209,bieber
210,baby
211,baby
212,baby
213,oh
214,like
215,baby
216,baby
217,baby
218,like
219,baby
220,baby
221,baby
222,oh
223,thought
224,you’d
225,always
226,mine
227,mine
228,baby
229,baby
230,baby
231,oh
232,like
233,baby
234,baby
235,baby
236,like
237,baby
238,baby
239,baby
240,oh
241,thought
242,you’d
243,always
244,mine
245,mine
246,justin
247,bieber
248,i'm
249,gone
250,yeah
251,yeah
252,yeah
253,i'm
254,gone
255,yeah
256,yeah
257,yeah
258,i'm
259,gone
260,yeah
261,yeah
262,yeah
263,i'm
264,gone
265,gone
266,gone
267,gone
268,i'm
269,gone
