,Bed Of Roses_Bon Jovi
0,sitting
1,wasted
2,wounded
3,old
4,piano
5,trying
6,hard
7,capture
8,moment
9,morning
10,i
11,know
12,cause
13,bottle
14,vodka
15,still
16,lodged
17,my
18,head
19,blonde
20,gave
21,me
22,nightmares
23,i
24,think
25,still
26,my
27,bed
28,i
29,dream
30,movies
31,make
32,me
33,i'm
34,dead
35,ironclad
36,fist
37,i
38,wake
39,french
40,kiss
41,morning
42,marching
43,band
44,keeps
45,beat
46,my
47,head
48,we're
49,talking
50,things
51,i
52,long
53,believe
54,love
55,truth
56,you
57,mean
58,me
59,truth
60,baby
61,you're
62,i
63,need
64,i
65,want
66,lay
67,you
68,bed
69,roses
70,tonight
71,i
72,sleep
73,bed
74,nails
75,oh
76,i
77,want
78,close
79,holy
80,ghost
81,lay
82,you
83,bed
84,roses
85,well
86,i'm
87,far
88,away
89,step
90,i
91,take
92,my
93,way
94,home
95,king's
96,ransom
97,dimes
98,i'd
99,given
100,night
101,see
102,payphone
103,still
104,i
105,run
106,time
107,hard
108,get
109,till
110,bird
111,wire
112,flies
113,me
114,back
115,you
116,i'll
117,close
118,my
119,eyes
120,whisper
121,baby
122,blind
123,love
124,true
125,i
126,want
127,lay
128,you
129,bed
130,roses
131,tonight
132,i
133,sleep
134,bed
135,nails
136,oh
137,i
138,want
139,close
140,holy
141,ghost
142,lay
143,you
144,bed
145,roses
146,hotel
147,bar
148,hangover
149,whiskey's
150,gone
151,dry
152,barkeeper's
153,wig's
154,crooked
155,giving
156,me
157,eye
158,i
159,might
160,said
161,yeah
162,i
163,laughed
164,hard
165,i
166,think
167,i
168,died
169,guitar
170,solo
171,you
172,close
173,your
174,eyes
175,know
176,i'll
177,thinking
178,you
179,my
180,mistress
181,she
182,calls
183,me
184,stand
185,her
186,spotlight
187,tonight
188,i
189,alone
190,you
191,know
192,mean
193,i'm
194,lonely
195,i've
196,got
197,nothing
198,prove
199,you
200,i'd
201,die
202,defend
203,i
204,want
205,lay
206,you
207,bed
208,roses
209,tonight
210,i
211,sleep
212,bed
213,nails
214,i
215,want
216,close
217,holy
218,ghost
219,lay
220,you
221,bed
222,roses
223,i
224,want
225,lay
226,you
227,bed
228,roses
229,tonight
230,i
231,sleep
232,bed
233,nails
234,i
235,want
236,close
237,holy
238,ghost
239,lay
240,you
241,bed
242,roses
