,Give Me Love_Ed Sheeran
0,give
1,me
2,love
3,like
4,her
5,'cause
6,lately
7,i've
8,waking
9,alone
10,paint
11,splattered
12,teardrops
13,my
14,shirt
15,told
16,you
17,i'd
18,let
19,go
20,refrain
21,i'll
22,fight
23,my
24,corner
25,maybe
26,tonight
27,i'll
28,call
29,ya
30,my
31,blood
32,turns
33,alcohol
34,i
35,wanna
36,hold
37,ya
38,prechorus
39,give
40,little
41,time
42,me
43,burn
44,we’ll
45,play
46,hide
47,seek
48,turn
49,around
50,i
51,want
52,taste
53,your
54,lips
55,allow
56,mamy
57,mymyy
58,oh
59,give
60,me
61,love
62,mamy
63,mymyy
64,oh
65,give
66,me
67,love
68,mamy
69,mymyy
70,oh
71,give
72,me
73,love
74,mamy
75,mymyy
76,oh
77,give
78,me
79,love
80,mamy
81,mymyy
82,give
83,me
84,love
85,give
86,me
87,love
88,like
89,never
90,'cause
91,lately
92,i've
93,craving
94,i
95,still
96,feel
97,maybe
98,i
99,let
100,you
101,go
102,refrain
103,you
104,know
105,i'll
106,fight
107,my
108,corner
109,tonight
110,i'll
111,call
112,ya
113,my
114,blood
115,drowning
116,alcohol
117,i
118,wanna
119,hold
120,ya
121,prechorus
122,give
123,little
124,time
125,me
126,burn
127,we’ll
128,play
129,hide
130,seek
131,turn
132,around
133,i
134,want
135,taste
136,your
137,lips
138,allow
139,mamy
140,mymyy
141,oh
142,give
143,me
144,love
145,give
146,little
147,time
148,me
149,burn
150,we’ll
151,play
152,hide
153,seek
154,turn
155,around
156,i
157,want
158,taste
159,your
160,lips
161,allow
162,mamy
163,mymyy
164,oh
165,give
166,me
167,love
168,mamy
169,mymyy
170,oh
171,give
172,me
173,love
174,mamy
175,mymyy
176,oh
177,give
178,me
179,love
180,mamy
181,mymyy
182,oh
183,give
184,me
185,love
186,mamy
187,mymyy
188,give
189,me
190,love
191,mmy
192,my
193,mmy
194,my
195,mmy
196,my
197,give
198,me
199,love
200,lover
201,mmy
202,my
203,mmy
204,my
205,mmy
206,my
207,give
208,me
209,love
210,lover
211,mmy
212,my
213,mmy
214,my
215,mmy
216,my
217,give
218,me
219,love
220,lover
221,mmy
222,my
223,mmy
224,my
225,mmy
226,my
227,give
228,me
229,love
230,lover
231,mmy
232,my
233,mmy
234,my
235,mmy
236,my
237,give
238,me
239,love
240,lover
241,mmy
242,my
243,mmy
244,my
245,mmy
246,my
247,give
248,me
249,love
250,lover
251,mmy
252,my
253,mmy
254,my
255,mmy
256,my
257,give
258,me
259,love
260,lover
261,mmy
262,my
263,mmy
264,my
265,mmy
266,my
267,give
268,me
269,love
270,lover
271,mmy
272,my
273,mmy
274,my
275,mmy
276,my
277,give
278,me
279,love
280,lover
281,mmy
282,my
283,mmy
284,my
285,mmy
286,my
287,give
288,me
289,love
290,lover
291,mmy
292,my
293,mmy
294,my
295,mmy
296,my
297,give
298,me
299,love
300,lover
301,mmy
302,my
303,mmy
304,my
305,mmy
306,my
307,give
308,me
309,love
310,lover
311,collision
312,love
313,me
314,love
315,me
316,love
317,me
318,give
319,me
320,love
321,give
322,me
323,love
324,give
325,me
326,love
327,love
328,me
329,give
330,me
331,love
332,extended
333,mamy
334,mymyy
335,oh
336,give
337,me
338,love
339,mamy
340,mymyy
341,oh
342,give
343,me
344,love
345,mamy
346,mymyy
347,oh
348,give
349,me
350,love
351,mamy
352,mymyy
353,oh
354,give
355,me
356,love
357,mamy
358,mymyy
359,oh
360,give
361,me
362,love
363,mamy
364,mymyy
365,oh
366,give
367,me
368,love
369,mamy
370,mymyy
371,oh
372,give
373,me
374,love
375,mamy
376,mymyy
377,oh
378,give
379,me
380,love
381,mamy
382,mymyy
383,oh
384,give
385,me
386,love
387,mamy
388,mymyy
389,oh
390,give
391,me
392,love
393,mamy
394,mymyy
395,oh
396,give
397,me
398,love
399,mamy
400,mymyy
401,oh
402,give
403,me
404,love
