,Still into You_Paramore
0,can't
1,count
2,years
3,one
4,hand
5,we've
6,together
7,need
8,one
9,hold
10,make
11,feel
12,make
13,feel
14,better
15,walk
16,park
17,love
18,fingers
19,interlock
20,can't
21,deny
22,can't
23,deny
24,worth
25,pre-chorus
26,cause
27,time
28,i'm
29,still
30,butterflies
31,i'm
32,i'm
33,baby
34,even
35,worst
36,nights
37,i'm
38,i'm
39,let
40,'em
41,wonder
42,got
43,far
44,cause
45,really
46,need
47,wonder
48,yeah
49,time
50,i'm
51,still
52,recount
53,night
54,first
55,met
56,mother
57,drive
58,back
59,house
60,told
61,told
62,loved
63,ya
64,felt
65,weight
66,world
67,fall
68,shoulder
69,favorite
70,song
71,sang
72,along
73,start
74,forever
75,pre-chorus
76,time
77,i'm
78,still
79,butterflies
80,i'm
81,i'm
82,baby
83,even
84,worst
85,nights
86,i'm
87,i'm
88,let
89,'em
90,wonder
91,got
92,far
93,cause
94,really
95,need
96,wonder
97,yeah
98,time
99,i'm
100,still
101,bridge
102,things
103,things
104,make
105,sense
106,one
107,things
108,things
109,make
110,sense
111,even
112,time
113,i'm
114,baby
115,day
116,goes
117,i'm
118,butterflies
119,i'm
120,i'm
121,baby
122,even
123,worst
124,nights
125,i'm
126,i'm
127,let
128,'em
129,wonder
130,got
131,far
132,cause
133,really
134,need
135,wonder
136,yeah
137,time
138,i'm
139,still
140,outro
141,i'm
142,still
143,i'm
144,still
