,This Modern Love_Bloc Party
0,lost
1,forest
2,caught
3,adrift
4,you've
5,trying
6,reach
7,me
8,you
9,bought
10,me
11,book
12,lost
13,forest
14,caught
15,adrift
16,i've
17,paid
18,i've
19,paid
20,lost
21,forest
22,caught
23,adrift
24,you've
25,trying
26,reach
27,me
28,you
29,bought
30,me
31,book
32,lost
33,forest
34,caught
35,adrift
36,i've
37,paid
38,i've
39,weighed
40,i've
41,get
42,offended
43,i
44,seem
45,absentminded
46,keep
47,telling
48,me
49,facts
50,keep
51,making
52,me
53,smile
54,get
55,offended
56,i
57,seem
58,absent
59,minded
60,i
61,get
62,tonguetied
63,baby
64,you've
65,got
66,discerning
67,i've
68,never
69,known
70,what's
71,good
72,me
73,baby
74,you've
75,got
76,demanding
77,i
78,yours
79,i'll
80,pay
81,you
82,time
83,i'll
84,pay
85,you
86,time
87,you
88,told
89,me
90,you
91,wanted
92,eat
93,my
94,sadness
95,well
96,jump
97,enjoy
98,you
99,gorge
100,away
101,you
102,told
103,me
104,you
105,wanted
106,eat
107,my
108,sadness
109,jump
110,right
111,baby
112,you've
113,got
114,discerning
115,i've
116,never
117,known
118,what's
119,good
120,me
121,baby
122,you've
123,got
124,demanding
125,jump
126,left
127,you
128,holding
129,what's
130,always
131,way
132,damn
133,absentminded
134,scared
135,romance
136,modern
137,love
138,breaks
139,me
140,modern
141,love
142,wastes
143,me
144,modern
145,love
146,breaks
147,me
148,modern
149,love
150,wastes
151,me
152,you
153,wanna
154,come
155,kill
156,time
157,you
158,wanna
159,come
160,kill
161,time
162,you
163,wanna
164,come
165,kill
166,time
167,throw
168,your
169,arms
170,around
171,me
