,Possibly Maybe_Björk
0,flirts
1,finds
2,teases
3,crack
4,smittens
5,hope
6,possibly
7,maybe
8,possibly
9,maybe
10,possibly
11,maybe
12,much
13,definitely
14,enjoy
15,solitude
16,mind
17,perhaps
18,spending
19,little
20,time
21,sometimes
22,sometimes
23,possibly
24,maybe
25,probably
26,love
27,possibly
28,maybe
29,possibly
30,maybe
31,probably
32,love
33,possibly
34,uncertainty
35,excites
36,baby
37,knows
38,what's
39,going
40,happen
41,lottery
42,car
43,crash
44,join
45,cult
46,probably
47,maybe
48,possibly
49,maybe
50,possibly
51,love
52,probably
53,maybe
54,possibly
55,maybe
56,possibly
57,love
58,possibly
59,mon
60,petit
61,vulcan
62,eruptions
63,disasters
64,keep
65,calm
66,admiring
67,lava
68,keep
69,calm
70,possibly
71,maybe
72,probably
73,love
74,possibly
75,possibly
76,maybe
77,probably
78,love
79,electric
80,shocks
81,love
82,dozen
83,day
84,wonder
85,where's
86,love
87,promised
88,possibly
89,maybe
90,probably
91,love
92,possibly
93,possibly
94,possibly
95,possibly
96,maybe
97,probably
98,love
99,possibly
100,offer
101,love
102,like
103,heart's
104,burned
105,offer
106,love
107,like
108,i'm
109,exhausted
110,leave
111,alone
112,possibly
113,maybe
114,possibly
115,maybe
116,possibly
117,maybe
118,since
119,broke
120,i'm
121,using
122,lipstick
123,suck
124,tongue
125,remembrance
126,possibly
127,maybe
128,possibly
129,maybe
130,possibly
131,maybe
132,possibly
133,maybe
134,possibly
135,maybe
136,possibly
137,maybe
138,possibly
139,maybe
140,possibly
141,maybe
142,possibly
143,maybe
