,California King Bed_Rihanna
0,chest
1,chest
2,chest
3,chest
4,nose
5,nose
6,nose
7,nose
8,palm
9,palm
10,always
11,close
12,close
13,wrist
14,wrist
15,wrist
16,wrist
17,toe
18,toe
19,toe
20,toe
21,lips
22,felt
23,like
24,inside
25,rose
26,pre-chorus
27,come
28,reach
29,finger
30,feels
31,like
32,distance
33,us
34,california
35,king
36,bed
37,we're
38,ten
39,thousand
40,miles
41,apart
42,i've
43,california
44,wishing
45,stars
46,heart
47,california
48,king
49,eye
50,eye
51,eye
52,eye
53,cheek
54,cheek
55,cheek
56,cheek
57,side
58,side
59,sleeping
60,next
61,next
62,arm
63,arm
64,dusk
65,dawn
66,curtains
67,drawn
68,little
69,last
70,night
71,sheets
72,pre-chorus
73,come
74,reach
75,fingers
76,seems
77,like
78,distance
79,us
80,california
81,king
82,bed
83,we're
84,ten
85,thousand
86,miles
87,apart
88,i've
89,california
90,wishing
91,stars
92,heart
93,california
94,king
95,bridge
96,felt
97,like
98,giving
99,us
100,turned
101,around
102,gave
103,one
104,last
105,touch
106,made
107,everything
108,feel
109,better
110,even
111,eyes
112,got
113,wetter
114,confused
115,wanna
116,ask
117,love
118,wanna
119,seem
120,weak
121,maybe
122,i've
123,california
124,dreaming
125,california
126,king
127,bed
128,we're
129,ten
130,thousand
131,miles
132,apart
133,i've
134,california
135,wishing
136,stars
137,heart
138,california
139,king
140,california
141,king
142,california
143,king
144,bed
145,we're
146,ten
147,thousand
148,miles
149,apart
150,i've
151,california
152,wishing
153,stars
154,heart
155,california
156,king
157,california
158,king
