,As Long as You Love Me_Backstreet Boys
0,long
1,love
2,nick
3,brian
4,although
5,loneliness
6,always
7,friend
8,mine
9,i'm
10,leaving
11,life
12,hands
13,people
14,say
15,i'm
16,crazy
17,blind
18,risking
19,glance
20,got
21,blind
22,still
23,mystery
24,can't
25,get
26,head
27,care
28,written
29,history
30,long
31,care
32,long
33,love
34,care
35,long
36,love
37,brian
38,kevin
39,every
40,little
41,thing
42,said
43,done
44,feels
45,like
46,deep
47,within
48,ooh
49,ooh-ooh
50,really
51,matter
52,run
53,seems
54,like
55,we're
56,meant
57,&
58,brian
59,care
60,long
61,love
62,know
63,care
64,long
65,love
66,yeah
67,long
68,love
69,bridge
70,brian
71,&
72,nick
73,i've
74,tried
75,hide
76,one
77,knows
78,guess
79,shows
80,look
81,eyes
82,coming
83,care
84,long
85,love
86,baby
87,woo
88,woo
89,woo
90,ooh
91,&
92,brian
93,care
94,long
95,love
96,long
97,love
98,care
99,long
100,love
101,long
102,love
103,outro
104,brian
105,&
106,nick
107,long
108,love
109,long
110,love
111,long
112,love
113,care
114,long
115,love
