,Yoü and I_Lady Gaga
0,lady
1,gaga
2,it’s
3,long
4,time
5,since
6,i
7,came
8,around
9,long
10,time
11,i’m
12,back
13,town
14,time
15,i’m
16,leaving
17,without
18,you
19,you
20,taste
21,like
22,whiskey
23,you
24,kiss
25,me
26,oh
27,i'd
28,give
29,anything
30,your
31,baby
32,doll
33,time
34,i’m
35,leaving
36,without
37,you
38,prechorus
39,lady
40,gaga
41,he
42,said
43,sit
44,back
45,you
46,belong
47,corner
48,my
49,bar
50,your
51,high
52,heels
53,sit
54,back
55,couch
56,made
57,love
58,first
59,time
60,you
61,said
62,me
63,there’s
64,lady
65,gaga
66,brian
67,may
68,something
69,something
70,place
71,something
72,something
73,‘bout
74,lonely
75,nights
76,my
77,lipstick
78,your
79,face
80,something
81,something
82,my
83,cool
84,nebraska
85,guy
86,yeah
87,there's
88,something
89,baby
90,you
91,i
92,lady
93,gaga
94,it’s
95,two
96,years
97,since
98,i
99,let
100,you
101,go
102,i
103,couldn’t
104,listen
105,joke
106,rock
107,roll
108,muscle
109,cars
110,drove
111,truck
112,right
113,my
114,heart
115,my
116,birthday
117,you
118,sang
119,me
120,heart
121,gold
122,guitar
123,humming
124,clothes
125,time
126,i’m
127,leaving
128,without
129,you
130,prechorus
131,lady
132,gaga
133,he
134,said
135,sit
136,back
137,you
138,belong
139,corner
140,my
141,bar
142,your
143,high
144,heels
145,sit
146,back
147,couch
148,made
149,love
150,first
151,time
152,you
153,said
154,me
155,there’s
156,lady
157,gaga
158,brian
159,may
160,there's
161,something
162,something
163,place
164,something
165,something
166,‘bout
167,lonely
168,nights
169,my
170,lipstick
171,your
172,face
173,something
174,something
175,my
176,cool
177,nebraska
178,guy
179,yeah
180,there's
181,something
182,baby
183,you
184,i
185,postchorus
186,lady
187,gaga
188,you
189,i
190,you
191,you
192,i
193,you
194,you
195,i
196,you
197,you
198,i
199,i
200,you
201,i
202,you
203,you
204,i
205,oh
206,yeah
207,well
208,i'd
209,rather
210,die
211,without
212,you
213,i
214,i
215,c'mon
216,put
217,your
218,drinks
219,lady
220,gaga
221,got
222,whole
223,lot
224,money
225,still
226,pay
227,rent
228,'cause
229,you
230,can't
231,buy
232,house
233,heaven
234,there's
235,three
236,men
237,i'ma
238,serve
239,my
240,whole
241,life
242,my
243,daddy
244,nebraska
245,jesus
246,christ
247,there's
248,lady
249,gaga
250,brian
251,may
252,something
253,something
254,something
255,chase
256,six
257,whole
258,years
259,i'm
260,new
261,york
262,woman
263,born
264,run
265,you
266,still
267,want
268,my
269,lipstick
270,your
271,face
272,something
273,something
274,knowing
275,right
276,put
277,your
278,drinks
279,nebraska
280,nebraska
281,nebraska
282,i
283,love
284,ya
285,final
286,lady
287,gaga
288,brian
289,may
290,you
291,i
292,you
293,you
294,i
295,baby
296,i'd
297,rather
298,die
299,without
300,you
301,i
302,i
303,you
304,i
305,you
306,you
307,i
308,nebraska
309,i'd
310,rather
311,die
312,without
313,you
314,i
315,i
316,lady
317,gaga
318,long
319,time
320,since
321,i
322,came
323,around
324,long
325,time
326,i'm
327,back
328,town
329,time
330,i'm
331,leaving
332,without
333,you
