,I Just Called to Say I Love You_Stevie Wonder
0,new
1,year's
2,day
3,celebrate
4,chocolate
5,covered
6,candy
7,hearts
8,give
9,away
10,first
11,spring
12,song
13,sing
14,fact
15,here's
16,another
17,ordinary
18,day
19,april
20,rain
21,flowers
22,bloom
23,wedding
24,saturday
25,within
26,month
27,june
28,something
29,true
30,made
31,three
32,words
33,i
34,must
35,say
36,you
37,i
38,called
39,say
40,i
41,love
42,you
43,i
44,called
45,say
46,much
47,i
48,care
49,i
50,called
51,say
52,i
53,love
54,you
55,i
56,mean
57,bottom
58,my
59,heart
60,summer's
61,high
62,warm
63,july
64,harvest
65,moon
66,light
67,one
68,tender
69,august
70,night
71,autumn
72,breeze
73,falling
74,leaves
75,even
76,time
77,birds
78,fly
79,southern
80,skies
81,libra
82,sun
83,halloween
84,giving
85,thanks
86,christmas
87,joy
88,you
89,bring
90,though
91,old
92,new
93,fill
94,your
95,heart
96,like
97,three
98,words
99,could
100,ever
101,i
102,called
103,say
104,i
105,love
106,you
107,i
108,called
109,say
110,much
111,i
112,care
113,i
114,called
115,say
116,i
117,love
118,you
119,i
120,mean
121,bottom
122,my
123,heart
124,i
125,called
126,say
127,i
128,love
129,you
130,i
131,called
132,say
133,much
134,i
135,care
136,i
137,called
138,say
139,i
140,love
141,you
142,i
143,mean
144,bottom
145,my
146,heart
147,i
148,called
149,say
150,i
151,love
152,you
153,i
154,called
155,say
156,much
157,i
158,care
159,i
160,called
161,say
162,i
163,love
164,you
165,i
166,mean
167,bottom
168,my
169,heart
170,my
171,heart
172,my
173,heart
