,Un-Break My Heart_Toni Braxton
0,leave
1,pain
2,leave
3,rain
4,come
5,back
6,bring
7,back
8,smile
9,come
10,take
11,tears
12,away
13,need
14,arms
15,hold
16,nights
17,unkind
18,bring
19,back
20,nights
21,held
22,beside
23,un-break
24,heart
25,say
26,love
27,undo
28,hurt
29,caused
30,walked
31,door
32,walked
33,life
34,un-cry
35,tears
36,cried
37,many
38,nights
39,un-break
40,heart
41,heart
42,take
43,back
44,sad
45,word
46,goodbye
47,bring
48,back
49,joy
50,life
51,leave
52,tears
53,come
54,kiss
55,pain
56,away
57,can't
58,forget
59,day
60,left
61,time
62,unkind
63,life
64,cruel
65,without
66,beside
67,un-break
68,heart
69,say
70,love
71,undo
72,hurt
73,caused
74,walked
75,door
76,walked
77,life
78,un-cry
79,tears
80,cried
81,many
82,nights
83,un-break
84,heart
85,heart
86,bridge
87,leave
88,pain
89,leave
90,rain
91,bring
92,back
93,nights
94,held
95,beside
96,un-break
97,heart
98,say
99,love
100,undo
101,hurt
102,caused
103,walked
104,door
105,walked
106,life
107,un-cry
108,tears
109,cried
110,many
111,many
112,nights
113,oh
114,un-break
115,post-chorus
116,un-break
117,heart
118,oh
119,baby
120,come
121,back
122,say
123,love
124,un-break
125,heart
126,sweet
127,darlin'
128,without
129,can't
130,go
131,outro
132,say
133,love
134,say
135,love
136,tell
137,love
138,un-break
139,heart
140,say
141,love
142,say
143,love
144,tell
145,love
146,un-break
147,heart
148,say
149,love
150,say
151,love
152,tell
153,love
154,un-break
155,heart
156,say
157,love
158,say
159,love
160,tell
161,love
162,un-break
163,heart
