,God's Plan_Drake
0,wishin'
1,wishin'
2,wishin'
3,wishin'
4,wishin'
5,me
6,yeah
7,i
8,movin'
9,calm
10,start
11,trouble
12,me
13,tryna
14,keep
15,peaceful
16,struggle
17,me
18,pull
19,cuddle
20,me
21,you
22,know
23,i
24,like
25,you
26,lovin'
27,me
28,i
29,wanna
30,die
31,miss
32,me
33,yes
34,i
35,see
36,things
37,wishin'
38,me
39,hope
40,i
41,got
42,brothers
43,outlive
44,me
45,gon'
46,tell
47,story
48,shit
49,different
50,me
51,god's
52,plan
53,god's
54,plan
55,i
56,hold
57,back
58,sometimes
59,i
60,yuh
61,i
62,feel
63,good
64,sometimes
65,i
66,ayy
67,i
68,finessed
69,weston
70,road
71,ayy
72,'nessed
73,might
74,go
75,god
76,yeah
77,wait
78,i
79,go
80,hard
81,southside
82,g
83,yeah
84,wait
85,i
86,make
87,sure
88,northside
89,eat
90,postchorus
91,still
92,bad
93,things
94,lot
95,bad
96,things
97,wishin'
98,wishin'
99,wishin'
100,wishin'
101,wishin'
102,me
103,bad
104,things
105,lot
106,bad
107,things
108,wishin'
109,wishin'
110,wishin'
111,wishin'
112,wishin'
113,me
114,yeah
115,ayy
116,ayy
117,she
118,say
119,you
120,love
121,me
122,i
123,tell
124,her
125,partly
126,i
127,love
128,my
129,bed
130,my
131,mama
132,i'm
133,sorry
134,fifty
135,dub
136,i
137,even
138,got
139,tatted
140,me
141,they'll
142,bring
143,crashers
144,party
145,you
146,know
147,me
148,turn
149,o2
150,o3
151,dog
152,without
153,oli
154,there'd
155,me
156,'magine
157,i
158,never
159,met
160,broskies
161,god's
162,plan
163,god's
164,plan
165,i
166,can't
167,my
168,ayy
169,ayy
170,someone
171,watchin'
172,shit
173,close
174,yep
175,close
176,i've
177,me
178,since
179,scarlett
180,road
181,ayy
182,road
183,ayy
184,might
185,go
186,god
187,yeah
188,wait
189,i
190,go
191,hard
192,southside
193,g
194,ayy
195,wait
196,i
197,make
198,sure
199,northside
200,eat
201,yeah
202,postchorus
203,still
204,bad
205,things
206,lot
207,bad
208,things
209,wishin'
210,wishin'
211,wishin'
212,wishin'
213,wishin'
214,me
215,yeah
216,yeah
217,bad
218,things
219,lot
220,bad
221,things
222,wishin'
223,wishin'
224,wishin'
225,wishin'
226,wishin'
227,me
228,yeah
