,I've Just Seen a Face_The Beatles
0,i've
1,seen
2,face
3,can't
4,forget
5,time
6,place
7,met
8,girl
9,want
10,world
11,see
12,we've
13,met
14,mmm-mmm-mmm-m'mmm-mmm
15,another
16,day
17,might
18,looked
19,way
20,i'd
21,never
22,aware
23,i'll
24,dream
25,tonight
26,di-di-di-di'n'di
27,fallin'
28,yes
29,fallin'
30,keeps
31,callin'
32,back
33,never
34,known
35,like
36,i've
37,alone
38,missed
39,things
40,kept
41,sight
42,girls
43,never
44,quite
45,like
46,da-da-n'da-da'n'da
47,fallin'
48,yes
49,fallin'
50,keeps
51,callin'
52,back
53,guitar
54,solo
55,fallin'
56,yes
57,fallin'
58,keeps
59,callin'
60,back
61,i've
62,seen
63,face
64,can't
65,forget
66,time
67,place
68,met
69,girl
70,want
71,world
72,see
73,we've
74,met
75,mmm-mmm-mmm-da-da-da
76,fallin'
77,yes
78,fallin'
79,keeps
80,callin'
81,back
82,fallin'
83,yes
84,fallin'
85,keeps
86,callin'
87,back
88,outro
89,oh
90,fallin'
91,yes
92,fallin'
93,keeps
94,callin'
95,back
