,Jealous Guy_John Lennon
0,dreaming
1,past
2,heart
3,beating
4,fast
5,began
6,lose
7,control
8,began
9,lose
10,control
11,mean
12,hurt
13,i'm
14,sorry
15,made
16,cry
17,oh
18,want
19,hurt
20,i'm
21,jealous
22,guy
23,feeling
24,insecure
25,might
26,love
27,anymore
28,shivering
29,inside
30,shivering
31,inside
32,mean
33,hurt
34,i'm
35,sorry
36,made
37,cry
38,oh
39,want
40,hurt
41,i'm
42,jealous
43,guy
44,instrumental
45,mean
46,hurt
47,i'm
48,sorry
49,made
50,cry
51,oh
52,mean
53,hurt
54,i'm
55,jealous
56,guy
57,trying
58,catch
59,eyes
60,thought
61,trying
62,hide
63,swallowing
64,pain
65,swallowing
66,pain
67,mean
68,hurt
69,i'm
70,sorry
71,made
72,cry
73,oh
74,want
75,hurt
76,i'm
77,jealous
78,guy
79,watch
80,baby
81,i'm
82,jealous
83,guy
84,look
85,baby
86,i'm
87,jealous
88,guy
