,I Really Like You_Carly Rae Jepsen
0,i
1,really
2,wanna
3,stop
4,i
5,got
6,taste
7,i
8,feel
9,like
10,i
11,could
12,fly
13,boy
14,moon
15,honey
16,hold
17,my
18,hand
19,you
20,like
21,making
22,me
23,wait
24,i
25,feel
26,like
27,i
28,could
29,die
30,walking
31,room
32,oh
33,yeah
34,prechorus
35,late
36,night
37,watching
38,television
39,how'd
40,get
41,position
42,way
43,soon
44,i
45,know
46,love
47,i
48,need
49,tell
50,you
51,something
52,i
53,really
54,really
55,really
56,really
57,really
58,really
59,like
60,you
61,i
62,want
63,you
64,you
65,want
66,me
67,you
68,want
69,me
70,i
71,really
72,really
73,really
74,really
75,really
76,really
77,like
78,you
79,i
80,want
81,you
82,you
83,want
84,me
85,you
86,want
87,me
88,oh
89,i
90,say
91,much
92,i’m
93,my
94,head
95,we’re
96,touch
97,i
98,really
99,really
100,really
101,really
102,really
103,really
104,like
105,you
106,i
107,want
108,you
109,you
110,want
111,me
112,you
113,want
114,me
115,like
116,everything
117,you
118,say
119,sweet
120,revelation
121,i
122,wanna
123,get
124,your
125,head
126,yeah
127,could
128,stay
129,alone
130,you
131,me
132,temptation
133,sipping
134,your
135,lips
136,hanging
137,thread
138,baby
139,prechorus
140,late
141,night
142,watching
143,television
144,how'd
145,get
146,position
147,way
148,soon
149,i
150,know
151,love
152,love
153,i
154,need
155,tell
156,you
157,something
158,i
159,really
160,really
161,really
162,really
163,really
164,really
165,like
166,you
167,i
168,want
169,you
170,you
171,want
172,me
173,you
174,want
175,me
176,i
177,really
178,really
179,really
180,really
181,really
182,really
183,like
184,you
185,i
186,want
187,you
188,you
189,want
190,me
191,you
192,want
193,me
194,oh
195,i
196,say
197,much
198,i’m
199,my
200,head
201,we’re
202,touch
203,we’re
204,touch
205,i
206,really
207,really
208,really
209,really
210,really
211,really
212,like
213,you
214,i
215,want
216,you
217,you
218,want
219,me
220,you
221,want
222,me
223,gave
224,you
225,eyes
226,like
227,said
228,you
229,could
230,keep
231,i
232,don’t
233,know
234,act
235,i
236,leaving
237,i’m
238,running
239,time
240,going
241,my
242,mind
243,i
244,need
245,tell
246,you
247,something
248,yeah
249,i
250,need
251,tell
252,you
253,something
254,yeah
255,i
256,really
257,really
258,really
259,really
260,really
261,really
262,like
263,you
264,i
265,want
266,you
267,you
268,want
269,me
270,you
271,want
272,me
273,i
274,really
275,really
276,really
277,really
278,really
279,really
280,like
281,you
282,oh
283,oh
284,oh
285,i
286,want
287,you
288,you
289,want
290,me
291,you
292,want
293,me
294,oh
295,i
296,say
297,much
298,i
299,say
300,much
301,i’m
302,my
303,head
304,we’re
305,touch
306,i’m
307,my
308,head
309,we’re
310,touch
311,i
312,really
313,really
314,really
315,really
316,really
317,really
318,like
319,you
320,i
321,want
322,you
323,you
324,want
325,me
326,you
327,want
328,me
329,yeah
330,i
331,really
332,really
333,really
334,really
335,really
336,really
337,like
338,you
339,i
340,want
341,you
342,you
343,want
344,me
345,you
346,want
347,me
348,yeah
349,i
350,need
351,tell
352,you
353,something
354,i
355,really
356,really
357,really
358,really
359,really
360,really
361,like
362,you
363,oh
364,yeah
365,i
366,want
367,you
368,you
369,want
370,me
371,you
372,want
373,me
