,If I Were a Boy_Beyoncé
0,i
1,boy
2,even
3,day
4,i'd
5,roll
6,bed
7,morning
8,throw
9,i
10,wanted
11,go
12,drink
13,beer
14,guys
15,chase
16,girls
17,i'd
18,kick
19,i
20,wanted
21,i'd
22,never
23,get
24,confronted
25,'cause
26,they'd
27,stick
28,me
29,i
30,boy
31,i
32,think
33,i
34,could
35,understand
36,feels
37,love
38,girl
39,i
40,swear
41,i'd
42,better
43,man
44,i'd
45,listen
46,her
47,'cause
48,i
49,know
50,hurts
51,you
52,lose
53,one
54,you
55,wanted
56,'cause
57,he's
58,taken
59,you
60,granted
61,everything
62,you
63,got
64,destroyed
65,i
66,boy
67,i
68,would
69,turn
70,my
71,phone
72,tell
73,everyone
74,broken
75,they'd
76,think
77,i
78,sleepin'
79,alone
80,i'd
81,put
82,myself
83,first
84,make
85,rules
86,i
87,go
88,'cause
89,i'd
90,know
91,she'd
92,faithful
93,waitin'
94,me
95,come
96,home
97,come
98,home
99,i
100,boy
101,i
102,think
103,i
104,could
105,understand
106,feels
107,love
108,girl
109,i
110,swear
111,i'd
112,better
113,man
114,i'd
115,listen
116,her
117,'cause
118,i
119,know
120,hurts
121,you
122,lose
123,one
124,you
125,wanted
126,wanted
127,'cause
128,he's
129,taken
130,you
131,granted
132,granted
133,everything
134,you
135,got
136,destroyed
137,little
138,late
139,you
140,come
141,back
142,say
143,mistake
144,think
145,i'd
146,forgive
147,you
148,like
149,you
150,thought
151,i
152,would
153,wait
154,you
155,you
156,thought
157,wrong
158,you're
159,boy
160,you
161,understand
162,yeah
163,you
164,understand
165,oh
166,feels
167,love
168,girl
169,someday
170,you'll
171,wish
172,you
173,better
174,man
175,you
176,listen
177,her
178,you
179,care
180,hurts
181,you
182,lose
183,one
184,you
185,wanted
186,'cause
187,you've
188,taken
189,her
190,granted
191,everything
192,you
193,got
194,destroyed
195,you're
196,boy
