,Mint Car_The Cure
0,oow
1,sun
2,i'm
3,happy
4,i
5,could
6,scream
7,there's
8,nowhere
9,else
10,world
11,i'd
12,rather
13,you
14,perfect
15,i
16,ever
17,wanted
18,oh
19,i
20,almost
21,can't
22,believe
23,real
24,pinch
25,me
26,quick
27,i
28,really
29,think
30,gets
31,better
32,vanilla
33,smile
34,gorgeous
35,strawberry
36,kiss
37,birds
38,sing
39,swing
40,clouds
41,drift
42,everything
43,like
44,dream
45,everything
46,i
47,wished
48,never
49,guessed
50,got
51,good
52,wondered
53,ever
54,would
55,really
56,think
57,could
58,i
59,know
60,sun
61,i'm
62,fizzy
63,i
64,could
65,burst
66,yeah
67,you
68,wet
69,me
70,headfirst
71,perfect
72,i
73,ever
74,wanted
75,ow
76,feels
77,big
78,almost
79,hurts
80,never
81,guessed
82,got
83,good
84,wondered
85,ever
86,would
87,really
88,think
89,could
90,i
91,know
92,say
93,always
94,like
95,two
96,us
97,together
98,always
99,like
100,forever
101,ever
102,ever
103,ever
104,ever
105,ever
106,ever
107,ever
108,ever
109,never
110,guessed
111,got
112,good
113,wondered
114,ever
115,would
116,really
117,think
118,could
119,time
120,i
121,know
