,I Just Can't Stop Loving You_Michael Jackson
0,want
1,lay
2,next
3,look
4,beautiful
5,tonight
6,eyes
7,lovely
8,mouth
9,sweet
10,lot
11,people
12,misunderstand
13,that's
14,know
15,want
16,touch
17,hold
18,need
19,god
20,need
21,love
22,much
23,michael
24,&
25,siedah
26,time
27,wind
28,blows
29,hear
30,voice
31,call
32,name
33,whispers
34,morning
35,love
36,dawning
37,heaven's
38,glad
39,came
40,know
41,feel
42,thing
43,can't
44,go
45,wrong
46,i'm
47,proud
48,say
49,love
50,love's
51,got
52,high
53,long
54,get
55,time
56,forever
57,love
58,answer
59,hear
60,voice
61,choice
62,love
63,bring
64,heaven's
65,heart
66,call
67,hear
68,harps
69,angels
70,sing
71,know
72,feel
73,thing
74,can't
75,go
76,wrong
77,can't
78,live
79,life
80,without
81,can't
82,hold
83,feel
84,belong
85,life
86,ain't
87,worth
88,living
89,can't
90,&
91,siedah
92,can't
93,stop
94,loving
95,can't
96,stop
97,loving
98,stop
99,tell
100,cause
101,can't
102,stop
103,loving
104,michael
105,&
106,siedah
107,&
108,night
109,stars
110,shine
111,pray
112,i'll
113,find
114,love
115,true
116,morning
117,awakes
118,come
119,take
120,i'll
121,wait
122,know
123,feel
124,stop
125,hear
126,voice
127,saying
128,"""i"
129,"do"""
130,"""i"
131,"do"""
132,thing
133,can't
134,go
135,wrong
136,feeling's
137,strong
138,well
139,life
140,ain't
141,worth
142,living
143,can't
144,michael
145,&
146,can't
147,stop
148,loving
149,can't
150,stop
151,loving
152,stop
153,tell
154,can't
155,stop
156,loving
157,bridge
158,michael
159,&
160,siedah
161,&
162,change
163,world
164,tomorrow
165,sing
166,songs
167,yesterday
168,say
169,"""hey"
170,"farewell"""
171,sorrow
172,life
173,want
174,see
175,always
176,can't
177,stop
178,loving
179,baby
180,can't
181,stop
182,loving
183,can't
184,stop
185,stop
186,tell
187,can't
188,stop
189,loving
190,without
191,girl
192,can't
193,stop
194,loving
195,know
196,stop
197,tell
