,Talking to the Moon_Bruno Mars
0,know
1,somewhere
2,somewhere
3,far
4,away
5,want
6,back
7,want
8,back
9,neighbors
10,think
11,i'm
12,crazy
13,understand
14,prechorus
15,night
16,stars
17,light
18,room
19,sit
20,talking
21,moon
22,trying
23,get
24,hopes
25,side
26,talking
27,fool
28,sits
29,alone
30,talking
31,moon
32,i'm
33,feeling
34,like
35,i'm
36,famous
37,talk
38,town
39,say
40,i've
41,gone
42,mad
43,yeah
44,i've
45,gone
46,mad
47,know
48,know
49,cause
50,sun
51,goes
52,someone's
53,talking
54,back
55,yeah
56,they're
57,talking
58,back
59,oh
60,prechorus
61,night
62,stars
63,light
64,room
65,sit
66,talking
67,moon
68,trying
69,get
70,hopes
71,side
72,talking
73,fool
74,sits
75,alone
76,talking
77,moon
78,ever
79,hear
80,calling
81,ohohoh
82,ohohoh
83,cause
84,every
85,night
86,i'm
87,talking
88,moon
89,still
90,trying
91,get
92,hopes
93,side
94,talking
95,fool
96,sits
97,alone
98,talking
99,moon
100,know
101,somewhere
102,somewhere
103,far
104,away
