,She's Always a Woman_Billy Joel
0,she
1,kill
2,smile
3,she
4,wound
5,her
6,eyes
7,she
8,ruin
9,your
10,faith
11,her
12,casual
13,lies
14,she
15,reveals
16,she
17,wants
18,you
19,see
20,she
21,hides
22,like
23,child
24,always
25,woman
26,me
27,she
28,lead
29,you
30,love
31,she
32,take
33,you
34,leave
35,you
36,she
37,ask
38,truth
39,she'll
40,never
41,believe
42,you
43,she'll
44,take
45,you
46,give
47,her
48,long
49,free
50,yeah
51,she
52,steals
53,like
54,thief
55,always
56,woman
57,me
58,oh
59,she
60,takes
61,care
62,herself
63,she
64,wait
65,she
66,wants
67,ahead
68,her
69,time
70,oh
71,she
72,never
73,gives
74,she
75,never
76,gives
77,she
78,changes
79,her
80,mind
81,she'll
82,promise
83,you
84,garden
85,eden
86,she'll
87,carelessly
88,cut
89,you
90,laugh
91,you're
92,bleeding
93,she'll
94,bring
95,best
96,worst
97,you
98,blame
99,yourself
100,cause
101,always
102,woman
103,me
104,mmm
105,mmm
106,oh
107,she
108,takes
109,care
110,herself
111,she
112,wait
113,she
114,wants
115,ahead
116,her
117,time
118,oh
119,she
120,never
121,gives
122,she
123,never
124,gives
125,she
126,changes
127,her
128,mind
129,she
130,frequently
131,kind
132,suddenly
133,cruel
134,she
135,she
136,pleases
137,nobody's
138,fool
139,she
140,can't
141,convicted
142,earned
143,her
144,degree
145,she
146,throw
147,shadows
148,you
149,always
150,woman
151,me
152,mmm
153,mmm
