,Paper Bag_Fiona Apple
0,staring
1,sky
2,looking
3,star
4,pray
5,wish
6,something
7,like
8,sweet
9,fix
10,daydream
11,boy
12,whose
13,reality
14,knew
15,hopeless
16,dove
17,hope
18,began
19,downward
20,slope
21,believed
22,moment
23,chances
24,approaching
25,grabbed
26,came
27,near
28,weary
29,tear
30,thought
31,bird
32,paper
33,bag
34,hunger
35,hurts
36,want
37,bad
38,oh
39,kills
40,'cause
41,know
42,i'm
43,mess
44,wanna
45,clean
46,got
47,fold
48,cause
49,hands
50,shaky
51,hold
52,hunger
53,hurts
54,starving
55,works
56,costs
57,much
58,love
59,went
60,crazy
61,today
62,looking
63,strand
64,climb
65,looking
66,little
67,hope
68,baby
69,said
70,stay
71,put
72,lips
73,mine
74,fail
75,kiss
76,fail
77,cope
78,said
79,"""honey"
80,feel
81,good
82,feel
83,justified
84,come
85,put
86,little
87,love
88,"void"""
89,said
90,"""it's"
91,"head"""
92,said
93,"""so's"
94,"everything"""
95,get
96,thought
97,man
98,little
99,boy
100,hunger
101,hurts
102,want
103,bad
104,oh
105,kills
106,'cause
107,know
108,i'm
109,mess
110,wanna
111,clean
112,got
113,fold
114,cause
115,hands
116,shaky
117,hold
118,hunger
119,hurts
120,starving
121,works
122,costs
123,much
124,love
125,hunger
126,hurts
127,want
128,bad
129,oh
130,kills
131,'cause
132,know
133,i'm
134,mess
135,wanna
136,clean
137,got
138,fold
139,cause
140,hands
141,shaky
142,hold
143,hunger
144,hurts
145,starving
146,works
147,costs
148,much
149,love
150,hunger
151,hurts
152,want
153,bad
154,oh
155,kills
156,'cause
157,know
158,i'm
159,mess
160,wanna
161,clean
162,got
163,fold
164,cause
165,hands
166,shaky
167,hold
168,hunger
169,hurts
170,starving
171,works
172,costs
173,much
174,love
175,hmm
176,hmm
